received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-08-06 13:12:04.818564+07:00,192.168.2.185,57.144.100.0/24,443,UDP,96
2026-08-06 13:12:05.828932+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-06 13:12:05.828932+07:00,192.168.2.152,8.8.8.0/24,53,UDP,70
2026-08-06 13:12:06.078382+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-06 13:12:07.657590+07:00,192.168.2.178,31.13.95.0/24,443,UDP,96
2026-08-06 13:12:10.318562+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-06 13:12:10.777897+07:00,192.168.2.185,142.251.12.0/24,443,TCP,60
2026-08-06 13:12:10.908166+07:00,192.168.2.185,142.251.12.0/24,443,TCP,60
2026-08-06 13:12:11.847940+07:00,192.168.2.166,8.8.8.0/24,53,UDP,64
2026-08-06 13:12:12.668147+07:00,192.168.2.126,52.113.153.0/24,3478,UDP,250
2026-08-06 13:12:13.577722+07:00,192.168.2.159,8.8.4.0/24,443,UDP,1278
2026-08-06 13:12:14.947784+07:00,192.168.2.126,4.208.165.0/24,443,TCP,52
2026-08-06 13:12:15.889552+07:00,192.168.2.194,8.8.8.0/24,443,UDP,1228
2026-08-06 13:12:16.817866+07:00,192.168.2.194,40.99.10.0/24,443,TCP,60
2026-08-06 13:12:18.318184+07:00,192.168.2.126,10.18.218.0/24,38002,TCP,52
2026-08-06 13:12:19.258441+07:00,192.168.2.194,52.108.8.0/24,443,TCP,60
2026-08-06 13:12:19.658134+07:00,192.168.2.194,40.99.9.0/24,443,TCP,60
2026-08-06 13:12:21.217738+07:00,192.168.2.194,40.99.9.0/24,443,TCP,60
2026-08-06 13:12:21.827747+07:00,192.168.2.185,57.144.100.0/24,443,UDP,1260
2026-08-06 13:12:22.988108+07:00,192.168.2.185,172.253.118.0/24,443,TCP,60
2026-08-06 13:12:23.958247+07:00,192.168.2.126,8.8.8.0/24,53,UDP,82
2026-08-06 13:12:24.487903+07:00,192.168.2.126,20.190.144.0/24,443,TCP,52
2026-08-06 13:12:25.937966+07:00,192.168.2.199,20.190.141.0/24,443,TCP,52
2026-08-06 13:12:27.098201+07:00,192.168.2.126,45.121.219.0/24,443,TCP,52
2026-08-06 13:12:27.457976+07:00,192.168.2.199,52.114.55.0/24,3478,UDP,250
2026-08-06 13:12:28.517625+07:00,192.168.2.126,8.8.8.0/24,53,UDP,57
2026-08-06 13:12:29.817879+07:00,192.168.2.126,8.8.8.0/24,53,UDP,57
2026-08-06 13:12:30.768057+07:00,192.168.2.126,8.8.8.0/24,53,UDP,73
2026-08-06 13:12:31.977699+07:00,192.168.2.152,20.184.175.0/24,443,TCP,52
2026-08-06 13:12:32.597774+07:00,192.168.2.126,52.113.153.0/24,3478,UDP,250
2026-08-06 13:12:34.318113+07:00,192.168.2.199,52.114.55.0/24,3478,UDP,250
2026-08-06 13:12:35.437972+07:00,192.168.2.199,52.114.55.0/24,3478,UDP,250
2026-08-06 13:12:35.847771+07:00,192.168.2.185,57.144.100.0/24,443,UDP,1260
2026-08-06 13:12:36.668306+07:00,192.168.2.126,10.18.218.0/24,38005,TCP,52
2026-08-06 13:12:37.678422+07:00,192.168.2.126,10.18.218.0/24,38005,TCP,52
2026-08-06 13:12:39.677706+07:00,192.168.2.126,10.18.218.0/24,38005,TCP,52
2026-08-06 13:12:40.007767+07:00,192.168.2.199,20.190.141.0/24,443,TCP,52
2026-08-06 13:12:43.508188+07:00,192.168.2.185,57.144.100.0/24,443,UDP,1280
2026-08-06 13:12:43.689944+07:00,192.168.2.126,10.18.218.0/24,38005,TCP,52
2026-08-06 13:12:46.487895+07:00,192.168.2.123,8.8.8.0/24,53,UDP,60
2026-08-06 13:12:47.597952+07:00,192.168.2.126,74.112.186.0/24,443,TCP,52
2026-08-06 13:12:47.597952+07:00,192.168.2.199,52.114.55.0/24,3478,UDP,250
2026-08-06 13:12:49.727551+07:00,192.168.2.126,10.18.218.0/24,38002,TCP,52
2026-08-06 13:12:50.738303+07:00,192.168.2.126,10.18.218.0/24,38002,TCP,52
2026-08-06 13:12:50.968681+07:00,192.168.2.178,57.144.192.0/24,443,UDP,96
2026-08-06 13:12:51.687940+07:00,192.168.2.126,10.18.218.0/24,38005,TCP,52
