tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-08-05,00:00,192.168.2.114,582,88,7,472,110,133355,229.13230240549828,10,551,21,0,0.0172,0.9467,0.0361,0.0,0.1512
2026-08-05,00:00,192.168.2.115,18,6,2,6,12,14511,806.1666666666666,0,16,2,0,0.0,0.8889,0.1111,0.0,0.3333
2026-08-05,00:00,192.168.2.119,124,39,5,53,71,45398,366.11290322580646,34,86,4,0,0.2742,0.6935,0.0323,0.0,0.3145
2026-08-05,00:00,192.168.2.152,252,84,4,169,83,51108,202.8095238095238,48,198,6,0,0.1905,0.7857,0.0238,0.0,0.3333
2026-08-05,00:00,192.168.2.154,34,17,2,22,12,15676,461.05882352941177,0,33,1,0,0.0,0.9706,0.0294,0.0,0.5
2026-08-05,00:00,192.168.2.159,111,52,6,65,46,43327,390.3333333333333,6,92,13,0,0.0541,0.8288,0.1171,0.0,0.4685
2026-08-05,00:00,192.168.2.165,4,3,2,2,2,206,51.5,2,2,0,0,0.5,0.5,0.0,0.0,0.75
2026-08-05,00:00,192.168.2.166,544,85,4,376,168,69158,127.12867647058823,135,397,12,0,0.2482,0.7298,0.0221,0.0,0.1562
2026-08-05,00:00,192.168.2.170,5,2,1,1,4,4972,994.4,0,5,0,0,0.0,1.0,0.0,0.0,0.4
2026-08-05,00:00,192.168.2.180,1,1,1,0,1,176,176.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0
2026-08-05,00:00,192.168.2.183,107,28,8,59,48,42200,394.39252336448595,18,66,23,0,0.1682,0.6168,0.215,0.0,0.2617
2026-08-05,00:00,192.168.2.186,68,11,7,46,22,10542,155.02941176470588,13,28,23,4,0.1912,0.4118,0.3382,0.0588,0.1618
2026-08-05,00:00,192.168.2.188,259,68,7,142,117,70898,273.73745173745175,9,239,11,0,0.0347,0.9228,0.0425,0.0,0.2625
2026-08-05,00:00,192.168.2.189,11,5,4,6,5,1867,169.72727272727272,5,5,1,0,0.4545,0.4545,0.0909,0.0,0.4545
2026-08-05,00:00,192.168.2.195,26,17,2,20,6,7516,289.0769230769231,0,25,1,0,0.0,0.9615,0.0385,0.0,0.6538
2026-08-05,01:00,192.168.2.114,194,44,3,129,65,80258,413.70103092783506,0,186,8,0,0.0,0.9588,0.0412,0.0,0.2268
2026-08-05,01:00,192.168.2.115,38,25,2,23,15,20350,535.5263157894736,0,37,1,0,0.0,0.9737,0.0263,0.0,0.6579
2026-08-05,01:00,192.168.2.119,37,16,3,16,21,19766,534.2162162162163,4,27,6,0,0.1081,0.7297,0.1622,0.0,0.4324
2026-08-05,01:00,192.168.2.152,210,46,3,65,145,102364,487.44761904761907,62,148,0,0,0.2952,0.7048,0.0,0.0,0.219
2026-08-05,01:00,192.168.2.154,23,11,2,12,11,12090,525.6521739130435,0,20,3,0,0.0,0.8696,0.1304,0.0,0.4783
2026-08-05,01:00,192.168.2.159,139,54,6,54,85,92443,665.0575539568346,6,118,15,0,0.0432,0.8489,0.1079,0.0,0.3885
2026-08-05,01:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-05,01:00,192.168.2.166,482,68,4,349,133,52030,107.9460580912863,112,334,36,0,0.2324,0.6929,0.0747,0.0,0.1411
2026-08-05,01:00,192.168.2.170,3,2,1,1,2,2516,838.6666666666666,0,3,0,0,0.0,1.0,0.0,0.0,0.6667
2026-08-05,01:00,192.168.2.180,4,1,1,0,4,438,109.5,0,0,4,0,0.0,0.0,1.0,0.0,0.25
2026-08-05,01:00,192.168.2.182,19,12,6,9,10,7529,396.2631578947368,4,10,5,0,0.2105,0.5263,0.2632,0.0,0.6316
2026-08-05,01:00,192.168.2.183,50,20,6,21,29,26294,525.88,7,31,12,0,0.14,0.62,0.24,0.0,0.4
2026-08-05,01:00,192.168.2.186,115,16,4,103,12,15186,132.05217391304348,10,54,51,0,0.087,0.4696,0.4435,0.0,0.1391
2026-08-05,01:00,192.168.2.188,420,91,6,218,202,146281,348.28809523809525,0,410,8,2,0.0,0.9762,0.019,0.0048,0.2167
2026-08-05,01:00,192.168.2.190,928,155,6,821,107,152779,164.63254310344828,18,907,1,2,0.0194,0.9774,0.0011,0.0022,0.167
2026-08-05,01:00,192.168.2.195,42,20,2,28,14,14400,342.85714285714283,4,38,0,0,0.0952,0.9048,0.0,0.0,0.4762
2026-08-05,01:00,192.168.2.197,102,52,6,64,38,33905,332.4019607843137,8,87,7,0,0.0784,0.8529,0.0686,0.0,0.5098
2026-08-05,02:00,192.168.2.114,538,72,3,366,172,175055,325.3810408921933,0,526,12,0,0.0,0.9777,0.0223,0.0,0.1338
2026-08-05,02:00,192.168.2.115,50,32,3,37,13,15086,301.72,1,48,1,0,0.02,0.96,0.02,0.0,0.64
2026-08-05,02:00,192.168.2.119,87,28,4,25,62,38716,445.01149425287355,13,72,2,0,0.1494,0.8276,0.023,0.0,0.3218
2026-08-05,02:00,192.168.2.152,249,59,4,103,146,97004,389.574297188755,69,164,16,0,0.2771,0.6586,0.0643,0.0,0.2369
2026-08-05,02:00,192.168.2.154,25,6,1,17,8,10844,433.76,0,25,0,0,0.0,1.0,0.0,0.0,0.24
2026-08-05,02:00,192.168.2.159,149,48,5,32,117,122654,823.1812080536913,2,139,8,0,0.0134,0.9329,0.0537,0.0,0.3221
