tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other
2026-07-20,07:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-20,07:00,192.168.2.184,318,74,11,159,159,98532,309.85,20,253,34,11
2026-07-20,07:00,192.168.2.191,140,59,7,66,74,50116,357.97,27,94,17,2
2026-07-20,07:00,192.168.2.195,24,16,1,17,7,9866,411.08,0,24,0,0
2026-07-20,08:00,192.168.2.101,227,35,6,53,174,37365,164.6,130,90,6,1
2026-07-20,08:00,192.168.2.107,691,93,4,527,164,208639,301.94,0,685,6,0
2026-07-20,08:00,192.168.2.113,23,8,4,17,6,2506,108.96,5,14,4,0
2026-07-20,08:00,192.168.2.135,4,2,4,3,1,411,102.75,2,2,0,0
2026-07-20,08:00,192.168.2.139,455,90,8,226,229,141948,311.97,107,321,27,0
2026-07-20,08:00,192.168.2.144,142,31,3,39,103,54087,380.89,57,77,8,0
2026-07-20,08:00,192.168.2.158,16,6,2,6,10,11900,743.75,0,14,2,0
2026-07-20,08:00,192.168.2.162,165,69,7,131,34,46165,279.79,3,155,4,3
2026-07-20,08:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-20,08:00,192.168.2.191,109,45,9,58,51,41458,380.35,20,69,16,4
2026-07-20,09:00,192.168.2.101,355,37,5,55,300,49863,140.46,163,188,4,0
2026-07-20,09:00,192.168.2.107,483,86,3,351,132,163764,339.06,0,473,10,0
2026-07-20,09:00,192.168.2.113,117,22,4,66,51,19763,168.91,13,70,34,0
2026-07-20,09:00,192.168.2.139,134,40,4,52,82,37488,279.76,46,77,11,0
2026-07-20,09:00,192.168.2.144,129,42,5,44,85,55844,432.9,38,87,4,0
2026-07-20,09:00,192.168.2.158,31,17,3,14,17,16772,541.03,0,25,6,0
2026-07-20,09:00,192.168.2.162,373,112,9,301,72,95231,255.31,0,353,17,3
2026-07-20,09:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-20,09:00,192.168.2.191,150,36,3,49,101,71014,473.43,16,134,0,0
2026-07-20,09:00,192.168.2.195,1,1,1,0,1,1278,1278.0,0,1,0,0
2026-07-20,10:00,192.168.2.101,198,18,2,26,172,34020,171.82,132,66,0,0
2026-07-20,10:00,192.168.2.107,1032,111,5,720,312,369300,357.85,4,1010,18,0
2026-07-20,10:00,192.168.2.135,5,2,2,5,0,741,148.2,3,2,0,0
2026-07-20,10:00,192.168.2.139,236,67,7,94,142,64361,272.72,65,162,9,0
2026-07-20,10:00,192.168.2.144,106,39,5,36,70,37914,357.68,27,73,6,0
2026-07-20,10:00,192.168.2.150,33,10,4,24,9,3673,111.3,6,18,9,0
2026-07-20,10:00,192.168.2.158,3,3,1,1,2,2566,855.33,0,3,0,0
2026-07-20,10:00,192.168.2.162,194,77,5,135,59,71202,367.02,0,182,11,1
2026-07-20,10:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-20,10:00,192.168.2.180,1,1,1,0,1,140,140.0,0,0,1,0
2026-07-20,10:00,192.168.2.191,282,45,3,42,240,158509,562.09,28,253,1,0
2026-07-20,10:00,192.168.2.195,4,3,1,1,3,3794,948.5,0,4,0,0
2026-07-20,11:00,192.168.2.101,273,33,5,43,230,40545,148.52,150,120,2,1
2026-07-20,11:00,192.168.2.107,1164,123,6,763,401,396149,340.33,6,1139,19,0
2026-07-20,11:00,192.168.2.113,99,23,4,48,51,18689,188.78,13,59,27,0
2026-07-20,11:00,192.168.2.139,281,45,5,98,183,74000,263.35,99,174,8,0
2026-07-20,11:00,192.168.2.144,58,19,4,26,32,21114,364.03,14,39,5,0
2026-07-20,11:00,192.168.2.158,16,13,2,9,7,9386,586.62,0,15,1,0
2026-07-20,11:00,192.168.2.162,270,107,13,167,103,84668,313.59,0,243,13,14
2026-07-20,11:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-20,11:00,192.168.2.191,174,51,7,62,112,92007,528.78,19,148,7,0
2026-07-20,11:00,192.168.2.195,1,1,1,0,1,1278,1278.0,0,1,0,0
2026-07-20,12:00,192.168.2.101,28,8,2,6,22,1985,70.89,17,11,0,0
2026-07-20,12:00,192.168.2.113,44,12,3,39,5,4874,110.77,5,22,17,0
2026-07-20,12:00,192.168.2.139,386,69,6,137,249,88961,230.47,143,230,11,2
2026-07-20,12:00,192.168.2.154,137,28,7,25,112,79554,580.69,15,38,84,0
2026-07-20,12:00,192.168.2.158,8,6,2,3,5,6420,802.5,0,7,1,0
2026-07-20,12:00,192.168.2.163,45,7,4,5,40,11733,260.73,24,20,1,0
2026-07-20,12:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-20,12:00,192.168.2.180,2,1,1,0,2,311,155.5,0,0,2,0
2026-07-20,12:00,192.168.2.187,43,25,6,28,15,16349,380.21,7,32,2,2
2026-07-20,12:00,192.168.2.191,253,72,7,95,158,148100,585.38,9,233,11,0
2026-07-20,12:00,192.168.2.195,1,1,1,0,1,1278,1278.0,0,1,0,0
2026-07-20,12:00,192.168.2.197,193,59,6,130,63,61651,319.44,3,184,6,0
2026-07-20,13:00,192.168.2.113,62,15,4,47,15,8124,131.03,12,26,24,0
2026-07-20,13:00,192.168.2.139,143,49,4,89,54,29163,203.94,36,102,5,0
2026-07-20,13:00,192.168.2.150,21,10,4,16,5,1324,63.05,4,8,9,0
2026-07-20,13:00,192.168.2.154,723,92,8,342,381,296947,410.72,65,509,144,5
2026-07-20,13:00,192.168.2.158,13,5,2,5,8,10274,790.31,0,12,1,0
2026-07-20,13:00,192.168.2.163,314,41,6,53,261,50788,161.75,175,135,3,1
2026-07-20,13:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-20,13:00,192.168.2.180,2,1,1,0,2,352,176.0,0,0,2,0
2026-07-20,13:00,192.168.2.191,82,35,7,50,32,31873,388.7,8,67,7,0
2026-07-20,13:00,192.168.2.195,23,18,3,18,5,6168,268.17,0,22,1,0
2026-07-20,13:00,192.168.2.197,327,60,4,179,148,128226,392.13,2,314,11,0
2026-07-20,14:00,192.168.2.139,248,65,6,142,106,55789,224.96,68,171,9,0
2026-07-20,14:00,192.168.2.150,70,13,4,45,25,11788,168.4,19,24,27,0
2026-07-20,14:00,192.168.2.154,391,74,7,107,284,191994,491.03,53,208,130,0
2026-07-20,14:00,192.168.2.158,10,5,2,3,7,8926,892.6,0,9,1,0
2026-07-20,14:00,192.168.2.163,303,34,6,42,261,55069,181.75,157,141,4,1
2026-07-20,14:00,192.168.2.165,5,1,1,5,0,220,44.0,0,5,0,0
2026-07-20,14:00,192.168.2.180,3,1,1,0,3,528,176.0,0,0,3,0
2026-07-20,14:00,192.168.2.191,139,51,2,55,84,78821,567.06,13,126,0,0
2026-07-20,14:00,192.168.2.195,9,8,1,7,2,2926,325.11,0,9,0,0
2026-07-20,14:00,192.168.2.197,315,52,3,162,153,99303,315.25,0,310,5,0
2026-07-20,15:00,192.168.2.138,114,41,7,64,50,28931,253.78,14,95,5,0
2026-07-20,15:00,192.168.2.139,312,65,4,164,148,73720,236.28,100,202,10,0
2026-07-20,15:00,192.168.2.146,80,33,5,48,32,33081,413.51,5,72,3,0
2026-07-20,15:00,192.168.2.147,33,17,6,11,22,22037,667.79,3,26,4,0
2026-07-20,15:00,192.168.2.150,118,22,4,89,29,17971,152.3,25,61,32,0
2026-07-20,15:00,192.168.2.154,160,37,6,26,134,96281,601.76,21,57,80,2
2026-07-20,15:00,192.168.2.158,76,25,3,40,36,42478,558.92,0,67,9,0
2026-07-20,15:00,192.168.2.163,301,37,5,52,249,47657,158.33,176,122,3,0
2026-07-20,15:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0
2026-07-20,15:00,192.168.2.180,3,1,1,0,3,528,176.0,0,0,3,0
2026-07-20,15:00,192.168.2.187,73,30,6,51,22,24764,339.23,16,52,5,0
2026-07-20,15:00,192.168.2.191,212,60,9,112,100,70766,333.8,40,137,35,0
2026-07-20,15:00,192.168.2.195,4,3,2,2,2,2576,644.0,0,3,1,0
2026-07-20,15:00,192.168.2.197,63,25,3,46,17,17360,275.56,4,59,0,0
2026-07-20,16:00,192.168.2.138,479,89,10,242,237,96743,201.97,25,438,9,7
2026-07-20,16:00,192.168.2.139,655,81,42,107,548,95104,145.2,66,223,7,359
2026-07-20,16:00,192.168.2.146,529,68,5,394,135,122777,232.09,12,514,3,0
2026-07-20,16:00,192.168.2.147,86,34,4,21,65,45650,530.81,9,72,5,0
2026-07-20,16:00,192.168.2.150,40,11,4,25,15,5680,142.0,12,18,10,0
2026-07-20,16:00,192.168.2.158,16,11,2,11,5,6950,434.38,0,14,2,0
2026-07-20,16:00,192.168.2.163,189,29,4,38,151,30060,159.05,107,81,1,0
2026-07-20,16:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0
2026-07-20,16:00,192.168.2.187,50,23,6,41,9,12288,245.76,9,39,1,1
2026-07-20,16:00,192.168.2.191,70,28,7,38,32,29426,420.37,6,54,10,0
