tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-07-28,00:00,192.168.2.101,27,8,5,9,18,3025,112.03703703703704,18,7,2,0,0.6667,0.2593,0.0741,0.0,0.2963
2026-07-28,00:00,192.168.2.145,32,15,7,13,19,17495,546.71875,3,18,11,0,0.0938,0.5625,0.3438,0.0,0.4688
2026-07-28,00:00,192.168.2.152,572,91,4,484,88,80092,140.020979020979,44,218,310,0,0.0769,0.3811,0.542,0.0,0.1591
2026-07-28,00:00,192.168.2.162,111,62,7,74,37,42923,386.6936936936937,1,100,7,3,0.009,0.9009,0.0631,0.027,0.5586
2026-07-28,00:00,192.168.2.163,210,18,5,25,185,30884,147.06666666666666,74,132,4,0,0.3524,0.6286,0.019,0.0,0.0857
2026-07-28,00:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-28,00:00,192.168.2.166,292,69,4,195,97,24879,85.20205479452055,90,201,0,1,0.3082,0.6884,0.0,0.0034,0.2363
2026-07-28,00:00,192.168.2.170,30,15,4,14,16,12970,432.3333333333333,5,25,0,0,0.1667,0.8333,0.0,0.0,0.5
2026-07-28,00:00,192.168.2.172,161,41,8,85,76,60421,375.2857142857143,20,120,21,0,0.1242,0.7453,0.1304,0.0,0.2547
2026-07-28,00:00,192.168.2.175,148,35,4,89,59,35177,237.68243243243242,26,109,13,0,0.1757,0.7365,0.0878,0.0,0.2365
2026-07-28,00:00,192.168.2.180,4,4,4,0,4,3860,965.0,0,0,1,3,0.0,0.0,0.25,0.75,1.0
2026-07-28,00:00,192.168.2.181,144,51,9,100,44,36038,250.26388888888889,14,123,4,3,0.0972,0.8542,0.0278,0.0208,0.3542
2026-07-28,00:00,192.168.2.184,144,53,7,90,54,45736,317.6111111111111,5,136,3,0,0.0347,0.9444,0.0208,0.0,0.3681
2026-07-28,00:00,192.168.2.185,87,38,6,56,31,31386,360.7586206896552,3,81,3,0,0.0345,0.931,0.0345,0.0,0.4368
2026-07-28,00:00,192.168.2.186,55,18,5,38,17,5075,92.27272727272727,14,22,18,1,0.2545,0.4,0.3273,0.0182,0.3273
2026-07-28,00:00,192.168.2.191,104,37,4,56,48,50331,483.9519230769231,6,97,1,0,0.0577,0.9327,0.0096,0.0,0.3558
2026-07-28,00:00,192.168.2.195,30,20,2,22,8,10242,341.4,0,29,1,0,0.0,0.9667,0.0333,0.0,0.6667
2026-07-28,01:00,192.168.2.135,25,17,6,21,4,6824,272.96,7,15,2,1,0.28,0.6,0.08,0.04,0.68
2026-07-28,01:00,192.168.2.145,33,15,2,15,18,23610,715.4545454545455,0,30,3,0,0.0,0.9091,0.0909,0.0,0.4545
2026-07-28,01:00,192.168.2.146,546,83,7,326,220,234685,429.8260073260073,5,533,6,2,0.0092,0.9762,0.011,0.0037,0.152
