tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-08-10,00:00,192.168.2.129,473,56,6,111,362,49875,105.44397463002115,195,267,10,1,0.4123,0.5645,0.0211,0.0021,0.1184
2026-08-10,00:00,192.168.2.133,80,33,6,35,45,32731,409.1375,18,58,4,0,0.225,0.725,0.05,0.0,0.4125
2026-08-10,00:00,192.168.2.145,68,30,7,38,30,22543,331.5147058823529,9,48,11,0,0.1324,0.7059,0.1618,0.0,0.4412
2026-08-10,00:00,192.168.2.152,187,56,3,83,104,66700,356.6844919786096,52,135,0,0,0.2781,0.7219,0.0,0.0,0.2995
2026-08-10,00:00,192.168.2.157,378,86,7,234,144,102948,272.3492063492063,14,360,3,1,0.037,0.9524,0.0079,0.0026,0.2275
2026-08-10,00:00,192.168.2.159,101,33,4,38,63,47064,465.980198019802,27,72,2,0,0.2673,0.7129,0.0198,0.0,0.3267
2026-08-10,00:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-10,00:00,192.168.2.166,446,127,4,325,121,41311,92.62556053811659,94,339,13,0,0.2108,0.7601,0.0291,0.0,0.2848
2026-08-10,00:00,192.168.2.174,42,29,8,33,9,13640,324.76190476190476,5,31,2,4,0.119,0.7381,0.0476,0.0952,0.6905
2026-08-10,00:00,192.168.2.180,3,1,1,0,3,483,161.0,0,0,3,0,0.0,0.0,1.0,0.0,0.3333
2026-08-10,00:00,192.168.2.185,228,55,6,132,96,71715,314.5394736842105,3,190,35,0,0.0132,0.8333,0.1535,0.0,0.2412
2026-08-10,00:00,192.168.2.186,158,18,5,86,72,24961,157.98101265822785,12,122,24,0,0.0759,0.7722,0.1519,0.0,0.1139
2026-08-10,00:00,192.168.2.195,23,12,1,13,10,13260,576.5217391304348,0,23,0,0,0.0,1.0,0.0,0.0,0.5217
2026-08-10,01:00,192.168.2.129,131,25,4,28,103,25068,191.3587786259542,79,50,2,0,0.6031,0.3817,0.0153,0.0,0.1908
2026-08-10,01:00,192.168.2.133,157,47,5,56,101,63508,404.50955414012736,27,117,13,0,0.172,0.7452,0.0828,0.0,0.2994
2026-08-10,01:00,192.168.2.145,25,14,2,14,11,12455,498.2,0,24,1,0,0.0,0.96,0.04,0.0,0.56
2026-08-10,01:00,192.168.2.152,339,51,4,119,220,134401,396.4631268436578,111,227,1,0,0.3274,0.6696,0.0029,0.0,0.1504
2026-08-10,01:00,192.168.2.157,526,105,5,323,203,165329,314.31368821292773,15,502,9,0,0.0285,0.9544,0.0171,0.0,0.1996
2026-08-10,01:00,192.168.2.159,113,39,3,64,49,42190,373.3628318584071,16,95,2,0,0.1416,0.8407,0.0177,0.0,0.3451
2026-08-10,01:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
