received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-07-21 07:46:00.203342+07:00,192.168.2.164,8.8.8.0/24,443,UDP,1228
2026-07-21 07:46:00.324814+07:00,192.168.2.164,172.217.117.0/24,443,TCP,60
2026-07-21 07:46:01.893987+07:00,192.168.2.191,65.8.76.0/24,443,TCP,60
2026-07-21 07:46:01.893987+07:00,192.168.2.191,3.170.229.0/24,443,TCP,60
2026-07-21 07:46:01.894459+07:00,192.168.2.191,63.32.175.0/24,443,TCP,60
2026-07-21 07:46:08.864438+07:00,192.168.2.164,47.236.80.0/24,443,TCP,60
2026-07-21 07:46:09.294701+07:00,192.168.2.164,47.236.80.0/24,443,TCP,60
2026-07-21 07:46:09.473755+07:00,192.168.2.164,34.128.10.0/24,443,TCP,60
2026-07-21 07:46:11.096512+07:00,192.168.2.164,57.144.150.0/24,443,TCP,60
2026-07-21 07:46:11.554066+07:00,192.168.2.164,35.186.224.0/24,443,TCP,60
2026-07-21 07:46:11.554066+07:00,192.168.2.164,35.186.224.0/24,443,TCP,60
2026-07-21 07:46:12.484926+07:00,192.168.2.164,35.186.224.0/24,443,TCP,60
2026-07-21 07:46:12.487601+07:00,192.168.2.164,35.186.224.0/24,443,TCP,60
2026-07-21 07:46:15.543056+07:00,192.168.2.149,172.217.117.0/24,443,UDP,1278
2026-07-21 07:46:19.433933+07:00,192.168.2.148,8.8.8.0/24,443,UDP,1228
2026-07-21 07:46:19.433933+07:00,192.168.2.148,52.97.112.0/24,443,TCP,60
2026-07-21 07:46:20.136518+07:00,192.168.2.148,52.97.112.0/24,443,TCP,60
2026-07-21 07:46:21.003767+07:00,192.168.2.164,57.144.100.0/24,443,TCP,60
2026-07-21 07:46:21.863702+07:00,192.168.2.164,57.144.100.0/24,443,TCP,60
2026-07-21 07:46:22.874546+07:00,192.168.2.148,52.97.112.0/24,443,TCP,60
2026-07-21 07:46:24.473996+07:00,192.168.2.148,52.97.112.0/24,443,TCP,60
2026-07-21 07:46:28.963473+07:00,192.168.2.148,172.217.119.0/24,443,UDP,1278
2026-07-21 07:46:30.814483+07:00,192.168.2.164,74.125.200.0/24,443,UDP,1278
2026-07-21 07:46:32.515239+07:00,192.168.2.149,74.125.24.0/24,443,TCP,60
2026-07-21 07:46:32.874948+07:00,192.168.2.164,57.144.150.0/24,443,UDP,1280
2026-07-21 07:46:39.003776+07:00,192.168.2.149,172.217.117.0/24,443,UDP,100
2026-07-21 07:46:51.833345+07:00,192.168.2.149,57.144.193.0/24,443,UDP,1280
2026-07-21 07:46:51.834340+07:00,192.168.2.149,8.8.8.0/24,443,UDP,230
2026-07-21 07:47:25.873561+07:00,192.168.2.148,8.8.8.0/24,443,UDP,1228
2026-07-21 07:47:25.873561+07:00,192.168.2.148,172.217.114.0/24,443,TCP,60
2026-07-21 07:47:26.463506+07:00,192.168.2.148,216.239.38.0/24,443,TCP,60
2026-07-21 07:47:26.883565+07:00,192.168.2.139,8.8.8.0/24,53,UDP,60
2026-07-21 07:47:32.285129+07:00,192.168.2.101,8.8.8.0/24,53,UDP,63
2026-07-21 07:47:43.873534+07:00,192.168.2.149,8.8.8.0/24,443,UDP,231
2026-07-21 07:47:43.874667+07:00,192.168.2.149,172.217.113.0/24,443,UDP,1278
2026-07-21 07:47:45.563320+07:00,192.168.2.191,8.8.8.0/24,443,UDP,1228
