tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-08-06,00:00,192.168.2.159,108,48,6,81,27,26411,244.55,7,94,7,0,0.0648,0.8704,0.0648,0.0,0.4444
2026-08-06,00:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-06,00:00,192.168.2.170,27,17,4,20,7,7528,278.81,1,24,2,0,0.037,0.8889,0.0741,0.0,0.6296
2026-08-06,00:00,192.168.2.195,12,7,1,4,8,10364,863.67,0,12,0,0,0.0,1.0,0.0,0.0,0.5833
2026-08-06,01:00,192.168.2.159,114,42,8,51,63,49971,438.34,20,84,10,0,0.1754,0.7368,0.0877,0.0,0.3684
2026-08-06,01:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-06,01:00,192.168.2.170,6,2,1,1,5,6200,1033.33,0,6,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-06,01:00,192.168.2.195,3,3,1,0,3,3784,1261.33,0,3,0,0,0.0,1.0,0.0,0.0,1.0
2026-08-06,02:00,192.168.2.159,30,10,1,13,17,22406,746.87,0,30,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-06,02:00,192.168.2.165,4,1,1,4,0,176,44.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-08-06,02:00,192.168.2.170,7,3,1,2,5,6260,894.29,0,7,0,0,0.0,1.0,0.0,0.0,0.4286
2026-08-06,02:00,192.168.2.195,77,33,2,54,23,25076,325.66,6,71,0,0,0.0779,0.9221,0.0,0.0,0.4286
2026-08-06,03:00,192.168.2.159,23,12,1,14,9,12142,527.91,0,23,0,0,0.0,1.0,0.0,0.0,0.5217
2026-08-06,03:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-06,03:00,192.168.2.170,104,40,3,59,45,54664,525.62,0,103,1,0,0.0,0.9904,0.0096,0.0,0.3846
2026-08-06,03:00,192.168.2.195,33,16,1,23,10,13910,421.52,0,33,0,0,0.0,1.0,0.0,0.0,0.4848
2026-08-06,04:00,192.168.2.154,49,14,4,29,20,6286,128.29,4,31,14,0,0.0816,0.6327,0.2857,0.0,0.2857
2026-08-06,04:00,192.168.2.159,375,66,9,181,194,111862,298.3,113,209,51,2,0.3013,0.5573,0.136,0.0053,0.176
2026-08-06,04:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-06,04:00,192.168.2.170,6,2,1,1,5,6200,1033.33,0,6,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-06,04:00,192.168.2.195,45,25,3,34,11,13528,300.62,1,43,1,0,0.0222,0.9556,0.0222,0.0,0.5556
2026-08-06,05:00,192.168.2.154,78,20,6,30,48,23735,304.29,4,48,26,0,0.0513,0.6154,0.3333,0.0,0.2564
2026-08-06,05:00,192.168.2.159,145,43,6,80,65,64188,442.68,13,121,11,0,0.0897,0.8345,0.0759,0.0,0.2966
2026-08-06,05:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-06,05:00,192.168.2.170,4,1,1,0,4,4912,1228.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-08-06,05:00,192.168.2.195,131,23,2,14,117,53782,410.55,45,86,0,0,0.3435,0.6565,0.0,0.0,0.1756
2026-08-06,06:00,192.168.2.114,144,32,5,117,27,35448,246.17,5,137,2,0,0.0347,0.9514,0.0139,0.0,0.2222
2026-08-06,06:00,192.168.2.154,56,15,5,25,31,16461,293.95,4,37,15,0,0.0714,0.6607,0.2679,0.0,0.2679
2026-08-06,06:00,192.168.2.159,62,26,5,27,35,23499,379.02,12,42,8,0,0.1935,0.6774,0.129,0.0,0.4194
2026-08-06,06:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-06,06:00,192.168.2.170,5,2,1,1,4,4972,994.4,0,5,0,0,0.0,1.0,0.0,0.0,0.4
2026-08-06,06:00,192.168.2.183,21,10,6,7,14,9136,435.05,7,9,5,0,0.3333,0.4286,0.2381,0.0,0.4762
