received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-07-30 15:24:38.607358+07:00,192.168.2.166,8.8.8.0/24,53,UDP,56
2026-07-30 15:24:38.607358+07:00,192.168.2.166,8.8.8.0/24,53,UDP,56
2026-07-30 15:24:38.607358+07:00,192.168.2.166,8.8.4.0/24,443,UDP,1278
2026-07-30 15:24:39.009239+07:00,192.168.2.152,172.188.155.0/24,443,TCP,52
2026-07-30 15:24:42.696698+07:00,192.168.2.145,57.144.193.0/24,443,TCP,60
2026-07-30 15:24:42.697686+07:00,192.168.2.145,8.8.8.0/24,443,UDP,1228
2026-07-30 15:24:42.928844+07:00,192.168.2.145,172.217.116.0/24,443,UDP,1278
2026-07-30 15:24:52.698185+07:00,192.168.2.198,57.144.101.0/24,443,TCP,60
2026-07-30 15:24:52.698185+07:00,192.168.2.198,8.8.8.0/24,443,UDP,1228
2026-07-30 15:24:52.947582+07:00,192.168.2.198,57.144.193.0/24,443,TCP,60
2026-07-30 15:24:52.947582+07:00,192.168.2.198,8.8.8.0/24,53,UDP,60
2026-07-30 15:24:52.947582+07:00,192.168.2.198,57.144.193.0/24,443,UDP,1280
2026-07-30 15:24:52.948584+07:00,192.168.2.198,57.144.193.0/24,443,TCP,60
2026-07-30 15:24:54.057394+07:00,192.168.2.198,157.240.208.0/24,443,UDP,1280
2026-07-30 15:24:58.967846+07:00,192.168.2.145,8.8.8.0/24,443,UDP,230
2026-07-30 15:25:00.027527+07:00,192.168.2.166,172.175.111.0/24,443,TCP,52
2026-07-30 15:25:01.567526+07:00,192.168.2.166,72.145.35.0/24,443,TCP,52
2026-07-30 15:25:02.367140+07:00,192.168.2.166,8.8.8.0/24,53,UDP,80
2026-07-30 15:25:02.367140+07:00,192.168.2.166,104.68.47.0/24,443,TCP,52
2026-07-30 15:25:02.536683+07:00,192.168.2.166,104.68.47.0/24,443,TCP,52
2026-07-30 15:25:04.007517+07:00,192.168.2.166,104.68.47.0/24,443,TCP,52
2026-07-30 15:25:04.007517+07:00,192.168.2.166,14.102.231.0/24,80,TCP,52
2026-07-30 15:25:05.007643+07:00,192.168.2.166,14.102.231.0/24,80,TCP,60
2026-07-30 15:25:05.897600+07:00,192.168.2.166,10.24.102.0/24,7680,TCP,52
2026-07-30 15:25:06.897592+07:00,192.168.2.166,10.24.107.0/24,7680,TCP,52
2026-07-30 15:25:08.307423+07:00,192.168.2.166,10.24.107.0/24,7680,TCP,52
2026-07-30 15:25:08.897475+07:00,192.168.2.166,10.24.107.0/24,7680,TCP,52
2026-07-30 15:25:10.428850+07:00,192.168.2.152,8.8.8.0/24,443,UDP,1278
2026-07-30 15:25:12.307241+07:00,192.168.2.166,10.24.102.0/24,7680,TCP,52
2026-07-30 15:25:12.307241+07:00,192.168.2.166,10.24.102.0/24,7680,TCP,52
2026-07-30 15:25:12.898491+07:00,192.168.2.166,10.24.107.0/24,7680,TCP,52
2026-07-30 15:25:15.097161+07:00,192.168.2.166,103.111.145.0/24,443,TCP,52
2026-07-30 15:25:15.337782+07:00,192.168.2.166,14.102.231.0/24,80,TCP,60
2026-07-30 15:25:15.987766+07:00,192.168.2.166,14.102.231.0/24,80,TCP,60
2026-07-30 15:25:19.728524+07:00,192.168.2.166,14.102.231.0/24,80,TCP,60
2026-07-30 15:25:19.728524+07:00,192.168.2.166,104.68.47.0/24,443,TCP,52
2026-07-30 15:25:19.728524+07:00,192.168.2.166,72.154.7.0/24,443,TCP,52
2026-07-30 15:25:20.567823+07:00,192.168.2.166,10.24.102.0/24,7680,TCP,52
2026-07-30 15:25:20.908342+07:00,192.168.2.166,10.24.107.0/24,7680,TCP,52
2026-07-30 15:25:21.916851+07:00,192.168.2.166,13.107.6.0/24,443,TCP,52
2026-07-30 15:25:23.057919+07:00,192.168.2.166,172.66.146.0/24,443,TCP,52
2026-07-30 15:25:24.117254+07:00,192.168.2.166,20.52.64.0/24,443,TCP,52
2026-07-30 15:25:25.327128+07:00,192.168.2.166,20.52.64.0/24,443,TCP,52
2026-07-30 15:25:27.598424+07:00,192.168.2.166,10.24.102.0/24,7680,TCP,52
2026-07-30 15:25:27.598424+07:00,192.168.2.166,10.24.107.0/24,7680,TCP,52
