received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-08-06 09:03:01.532833+07:00,192.168.2.124,172.217.112.0/24,443,TCP,60
2026-08-06 09:03:02.663154+07:00,192.168.2.199,10.18.218.0/24,38005,TCP,52
2026-08-06 09:03:03.714437+07:00,192.168.2.199,10.18.218.0/24,38005,TCP,52
2026-08-06 09:03:05.743546+07:00,192.168.2.199,10.18.218.0/24,38005,TCP,52
2026-08-06 09:03:06.133054+07:00,192.168.2.199,10.18.218.0/24,38002,TCP,52
2026-08-06 09:03:06.593512+07:00,192.168.2.199,8.8.8.0/24,53,TCP,52
2026-08-06 09:03:09.154182+07:00,192.168.2.199,10.18.218.0/24,38002,TCP,52
2026-08-06 09:03:09.154182+07:00,192.168.2.197,172.217.115.0/24,443,TCP,60
2026-08-06 09:03:09.743296+07:00,192.168.2.199,10.18.218.0/24,38005,TCP,52
2026-08-06 09:03:10.553763+07:00,192.168.2.185,103.137.169.0/24,443,TCP,60
2026-08-06 09:03:11.933977+07:00,192.168.2.197,34.128.10.0/24,443,TCP,60
2026-08-06 09:03:12.503146+07:00,192.168.2.183,31.13.95.0/24,443,TCP,60
2026-08-06 09:03:13.653674+07:00,192.168.2.124,142.251.12.0/24,443,TCP,60
2026-08-06 09:03:14.623239+07:00,192.168.2.114,23.214.169.0/24,443,UDP,1278
2026-08-06 09:03:15.663269+07:00,192.168.2.114,71.18.74.0/24,443,TCP,60
2026-08-06 09:03:16.643838+07:00,192.168.2.185,8.209.88.0/24,443,TCP,60
2026-08-06 09:03:17.623478+07:00,192.168.2.114,34.107.238.0/24,443,TCP,60
2026-08-06 09:03:19.543735+07:00,192.168.2.126,52.114.55.0/24,3478,UDP,250
2026-08-06 09:03:19.703804+07:00,192.168.2.126,52.114.54.0/24,3478,UDP,250
2026-08-06 09:03:20.653688+07:00,192.168.2.122,8.8.8.0/24,443,UDP,1228
2026-08-06 09:03:22.933297+07:00,192.168.2.122,172.217.119.0/24,443,UDP,1278
2026-08-06 09:03:24.263172+07:00,192.168.2.114,10.105.212.0/24,443,TCP,60
2026-08-06 09:03:24.503184+07:00,192.168.2.114,10.105.212.0/24,443,TCP,60
2026-08-06 09:03:25.843384+07:00,192.168.2.199,20.89.1.0/24,443,TCP,52
2026-08-06 09:03:26.543516+07:00,192.168.2.194,57.144.192.0/24,443,TCP,60
2026-08-06 09:03:27.773390+07:00,192.168.2.114,57.144.192.0/24,443,UDP,1280
2026-08-06 09:03:28.533479+07:00,192.168.2.122,13.35.1.0/24,443,TCP,60
2026-08-06 09:03:29.634042+07:00,192.168.2.124,148.222.160.0/24,443,TCP,60
2026-08-06 09:03:30.753136+07:00,192.168.2.194,52.123.252.0/24,443,TCP,60
2026-08-06 09:03:31.542664+07:00,192.168.2.199,52.114.55.0/24,3478,UDP,250
2026-08-06 09:03:32.603094+07:00,192.168.2.124,142.250.4.0/24,443,UDP,1278
2026-08-06 09:03:34.774229+07:00,192.168.2.114,23.214.169.0/24,443,UDP,61
2026-08-06 09:03:35.543693+07:00,192.168.2.194,16.79.94.0/24,443,TCP,60
2026-08-06 09:03:37.083544+07:00,192.168.2.122,104.21.36.0/24,443,TCP,60
2026-08-06 09:03:38.503734+07:00,192.168.2.199,10.18.218.0/24,38002,TCP,52
2026-08-06 09:03:39.483271+07:00,192.168.2.199,10.18.218.0/24,38002,TCP,52
2026-08-06 09:03:41.513025+07:00,192.168.2.199,10.18.218.0/24,38002,TCP,52
2026-08-06 09:03:42.313276+07:00,192.168.2.114,57.144.192.0/24,443,UDP,1280
2026-08-06 09:03:45.523424+07:00,192.168.2.199,10.18.218.0/24,38002,TCP,52
2026-08-06 09:03:45.694011+07:00,192.168.2.199,170.114.52.0/24,443,TCP,52
2026-08-06 09:03:45.853350+07:00,192.168.2.114,23.40.63.0/24,443,TCP,60
2026-08-06 09:03:45.853870+07:00,192.168.2.115,8.8.8.0/24,53,UDP,60
2026-08-06 09:03:46.972507+07:00,192.168.2.114,10.105.212.0/24,443,TCP,60
2026-08-06 09:03:47.622868+07:00,192.168.2.114,10.105.212.0/24,443,TCP,60
2026-08-06 09:03:48.573440+07:00,192.168.2.114,10.105.212.0/24,443,TCP,60
2026-08-06 09:03:49.603403+07:00,192.168.2.114,10.105.212.0/24,443,TCP,60
2026-08-06 09:03:50.622881+07:00,192.168.2.114,10.105.212.0/24,443,TCP,60
2026-08-06 09:03:51.603085+07:00,192.168.2.114,10.105.212.0/24,443,TCP,60
2026-08-06 09:03:52.643631+07:00,192.168.2.126,10.18.218.0/24,38002,TCP,52
