received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-08-11 07:57:13.473993+07:00,192.168.2.145,172.253.118.0/24,443,UDP,1278
2026-08-11 07:57:16.160455+07:00,192.168.2.161,157.240.13.0/24,443,UDP,96
2026-08-11 07:57:17.520534+07:00,192.168.2.145,172.217.112.0/24,443,UDP,1278
2026-08-11 07:57:19.960150+07:00,192.168.2.145,142.251.12.0/24,443,UDP,1278
2026-08-11 07:57:21.770256+07:00,192.168.2.145,172.217.112.0/24,443,TCP,60
2026-08-11 07:57:23.940064+07:00,192.168.2.140,20.184.175.0/24,443,TCP,60
2026-08-11 07:57:24.250081+07:00,192.168.2.140,20.184.175.0/24,443,TCP,60
2026-08-11 07:57:27.770384+07:00,192.168.2.152,8.8.8.0/24,53,UDP,56
2026-08-11 07:57:27.770384+07:00,192.168.2.152,8.8.8.0/24,53,UDP,56
2026-08-11 07:57:27.770384+07:00,192.168.2.152,8.8.8.0/24,443,UDP,1278
2026-08-11 07:57:31.740098+07:00,192.168.2.152,8.8.4.0/24,443,UDP,1278
2026-08-11 07:57:33.940500+07:00,192.168.2.166,8.8.8.0/24,53,UDP,69
2026-08-11 07:57:33.940500+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-11 07:57:34.660234+07:00,192.168.2.161,57.144.192.0/24,443,UDP,64
2026-08-11 07:57:35.770797+07:00,192.168.2.166,146.112.41.0/24,443,TCP,52
2026-08-11 07:57:36.470170+07:00,192.168.2.152,34.160.81.0/24,443,UDP,1278
2026-08-11 07:57:38.920078+07:00,192.168.2.166,13.107.6.0/24,443,TCP,52
2026-08-11 07:57:40.180627+07:00,192.168.2.113,8.8.8.0/24,53,UDP,56
2026-08-11 07:57:40.180627+07:00,192.168.2.113,8.8.4.0/24,443,TCP,589
2026-08-11 07:57:40.690101+07:00,192.168.2.152,150.171.27.0/24,443,TCP,52
2026-08-11 07:57:46.770958+07:00,192.168.2.166,74.125.68.0/24,443,TCP,52
2026-08-11 07:57:48.362066+07:00,192.168.2.152,23.56.239.0/24,443,UDP,1278
2026-08-11 07:57:56.420150+07:00,192.168.2.152,8.8.8.0/24,53,UDP,56
2026-08-11 07:57:56.420913+07:00,192.168.2.152,8.8.8.0/24,53,UDP,56
2026-08-11 07:57:56.420913+07:00,192.168.2.152,8.8.4.0/24,443,UDP,1278
2026-08-11 07:57:56.422024+07:00,192.168.2.152,20.42.65.0/24,443,TCP,52
2026-08-11 07:58:00.070826+07:00,192.168.2.161,57.144.192.0/24,443,UDP,64
2026-08-11 07:58:03.940662+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-11 07:58:05.331654+07:00,192.168.2.161,8.8.8.0/24,53,UDP,70
2026-08-11 07:58:05.332644+07:00,192.168.2.161,8.8.8.0/24,53,UDP,61
2026-08-11 07:58:05.332644+07:00,192.168.2.161,8.8.8.0/24,53,UDP,73
2026-08-11 07:58:05.333253+07:00,192.168.2.161,8.8.8.0/24,53,UDP,64
2026-08-11 07:58:05.333876+07:00,192.168.2.161,8.8.8.0/24,53,UDP,72
2026-08-11 07:58:07.422540+07:00,192.168.2.161,157.240.13.0/24,443,UDP,96
2026-08-11 07:58:10.089264+07:00,192.168.2.166,8.8.8.0/24,53,UDP,61
2026-08-11 07:58:10.089264+07:00,192.168.2.166,8.8.8.0/24,53,UDP,61
2026-08-11 07:58:10.089264+07:00,192.168.2.166,35.186.224.0/24,443,UDP,1278
2026-08-11 07:58:10.679537+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-11 07:58:11.601286+07:00,192.168.2.164,8.8.8.0/24,443,UDP,1228
2026-08-11 07:58:12.820096+07:00,192.168.2.185,57.144.100.0/24,443,UDP,1280
2026-08-11 07:58:13.459519+07:00,192.168.2.200,142.251.10.0/24,443,TCP,60
2026-08-11 07:58:15.230871+07:00,192.168.2.152,8.8.8.0/24,443,UDP,1278
2026-08-11 07:58:15.680529+07:00,192.168.2.200,57.144.192.0/24,443,UDP,64
2026-08-11 07:58:17.350582+07:00,192.168.2.145,8.8.8.0/24,443,UDP,1228
2026-08-11 07:58:17.521283+07:00,192.168.2.145,52.123.128.0/24,443,TCP,60
2026-08-11 07:58:18.820681+07:00,192.168.2.145,52.113.194.0/24,443,TCP,60
2026-08-11 07:58:22.489962+07:00,192.168.2.152,8.8.8.0/24,53,UDP,56
2026-08-11 07:58:22.489962+07:00,192.168.2.152,8.8.8.0/24,53,UDP,56
2026-08-11 07:58:22.489962+07:00,192.168.2.152,8.8.8.0/24,443,UDP,1278
2026-08-11 07:58:25.471340+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-11 07:58:30.429995+07:00,192.168.2.142,8.8.8.0/24,443,UDP,1228
2026-08-11 07:58:31.020727+07:00,192.168.2.152,8.8.8.0/24,53,UDP,78
2026-08-11 07:58:31.021727+07:00,192.168.2.152,13.69.109.0/24,443,TCP,52
2026-08-11 07:58:31.480027+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-11 07:58:33.930666+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-11 07:58:38.190051+07:00,192.168.2.161,8.8.8.0/24,53,UDP,72
2026-08-11 07:58:38.190559+07:00,192.168.2.161,57.144.192.0/24,443,UDP,1280
2026-08-11 07:58:39.119819+07:00,192.168.2.161,8.8.8.0/24,53,UDP,75
2026-08-11 07:58:42.019774+07:00,192.168.2.113,8.8.4.0/24,443,TCP,589
2026-08-11 07:58:42.020514+07:00,192.168.2.113,17.253.61.0/24,443,TCP,64
2026-08-11 07:58:49.960039+07:00,192.168.2.141,8.8.8.0/24,53,UDP,60
2026-08-11 07:58:50.771902+07:00,192.168.2.161,57.144.192.0/24,443,UDP,64
2026-08-11 07:58:50.992102+07:00,192.168.2.152,8.8.8.0/24,53,UDP,56
2026-08-11 07:58:50.992102+07:00,192.168.2.152,8.8.8.0/24,53,UDP,56
2026-08-11 07:58:50.992102+07:00,192.168.2.152,8.8.4.0/24,443,UDP,1278
2026-08-11 07:58:53.790399+07:00,192.168.2.141,57.144.193.0/24,443,UDP,1280
2026-08-11 07:58:54.619814+07:00,192.168.2.152,57.144.193.0/24,443,UDP,1278
2026-08-11 07:58:55.650030+07:00,192.168.2.141,166.117.114.0/24,443,TCP,60
2026-08-11 07:58:56.779605+07:00,192.168.2.141,52.247.72.0/24,443,TCP,60
2026-08-11 07:58:58.481462+07:00,192.168.2.161,157.240.13.0/24,443,UDP,96
2026-08-11 07:58:59.040836+07:00,192.168.2.152,57.144.193.0/24,443,TCP,52
2026-08-11 07:59:00.170461+07:00,192.168.2.166,8.8.8.0/24,53,UDP,61
2026-08-11 07:59:01.628995+07:00,192.168.2.140,8.8.8.0/24,443,UDP,1228
2026-08-11 07:59:02.979699+07:00,192.168.2.140,40.104.210.0/24,443,TCP,60
2026-08-11 07:59:03.759200+07:00,192.168.2.141,52.97.112.0/24,443,TCP,60
2026-08-11 07:59:04.810413+07:00,192.168.2.141,74.125.200.0/24,443,TCP,60
2026-08-11 07:59:05.529512+07:00,192.168.2.141,157.151.208.0/24,443,TCP,60
2026-08-11 07:59:06.470762+07:00,192.168.2.141,157.151.208.0/24,443,TCP,60
2026-08-11 07:59:07.709199+07:00,192.168.2.141,157.151.208.0/24,443,TCP,60
2026-08-11 07:59:08.889803+07:00,192.168.2.141,108.138.141.0/24,443,TCP,60
2026-08-11 07:59:09.852223+07:00,192.168.2.141,52.123.129.0/24,443,TCP,60
2026-08-11 07:59:10.749587+07:00,192.168.2.141,52.97.112.0/24,443,TCP,60
