received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-08-05 07:27:53.399664+07:00,192.168.2.183,18.161.49.0/24,80,TCP,60
2026-08-05 07:27:53.599694+07:00,192.168.2.183,23.207.192.0/24,80,TCP,60
2026-08-05 07:27:53.819028+07:00,192.168.2.183,45.121.219.0/24,80,TCP,60
2026-08-05 07:27:59.360150+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-05 07:28:01.501187+07:00,192.168.2.114,8.8.8.0/24,853,TCP,60
2026-08-05 07:28:01.501187+07:00,192.168.2.114,8.8.8.0/24,443,UDP,1228
2026-08-05 07:28:01.502181+07:00,192.168.2.114,8.8.8.0/24,53,UDP,75
2026-08-05 07:28:01.502181+07:00,192.168.2.114,8.8.8.0/24,53,UDP,60
2026-08-05 07:28:01.503182+07:00,192.168.2.114,8.8.8.0/24,53,UDP,70
2026-08-05 07:28:01.659739+07:00,192.168.2.114,142.251.152.0/24,443,TCP,60
2026-08-05 07:28:01.660254+07:00,192.168.2.114,142.251.12.0/24,5228,TCP,60
2026-08-05 07:28:05.420234+07:00,192.168.2.114,57.144.101.0/24,443,TCP,60
2026-08-05 07:28:12.509845+07:00,192.168.2.119,8.8.8.0/24,53,UDP,60
2026-08-05 07:28:12.510490+07:00,192.168.2.183,216.239.35.0/24,123,UDP,76
2026-08-05 07:28:12.511194+07:00,192.168.2.183,51.81.57.0/24,2002,UDP,1052
2026-08-05 07:28:24.540551+07:00,192.168.2.114,57.144.192.0/24,443,TCP,60
2026-08-05 07:28:24.541569+07:00,192.168.2.114,57.144.192.0/24,443,TCP,60
2026-08-05 07:28:24.543941+07:00,192.168.2.114,57.144.192.0/24,443,TCP,60
2026-08-05 07:28:24.739748+07:00,192.168.2.114,57.144.192.0/24,443,TCP,60
2026-08-05 07:28:24.740254+07:00,192.168.2.114,57.144.192.0/24,443,TCP,60
2026-08-05 07:28:24.740663+07:00,192.168.2.114,57.144.192.0/24,443,TCP,60
2026-08-05 07:28:24.869888+07:00,192.168.2.114,57.144.192.0/24,443,TCP,60
2026-08-05 07:28:26.949682+07:00,192.168.2.114,57.144.192.0/24,443,UDP,1280
2026-08-05 07:28:27.459500+07:00,192.168.2.188,57.144.192.0/24,443,UDP,1280
2026-08-05 07:28:27.730081+07:00,192.168.2.188,45.121.217.0/24,443,TCP,60
2026-08-05 07:28:29.360475+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-05 07:28:30.070062+07:00,192.168.2.188,31.13.95.0/24,5222,TCP,60
2026-08-05 07:28:31.700486+07:00,192.168.2.188,52.123.252.0/24,443,TCP,60
2026-08-05 07:28:32.099882+07:00,192.168.2.188,57.144.14.0/24,443,TCP,60
2026-08-05 07:28:33.599628+07:00,192.168.2.188,4.153.25.0/24,443,TCP,60
2026-08-05 07:28:34.159379+07:00,192.168.2.188,52.74.99.0/24,443,TCP,60
2026-08-05 07:28:34.839574+07:00,192.168.2.114,57.144.192.0/24,443,TCP,60
2026-08-05 07:28:36.209549+07:00,192.168.2.114,57.144.192.0/24,443,UDP,1280
2026-08-05 07:28:37.669222+07:00,192.168.2.166,8.8.8.0/24,53,UDP,61
2026-08-05 07:28:37.669222+07:00,192.168.2.166,35.186.224.0/24,443,UDP,1278
2026-08-05 07:28:43.369353+07:00,192.168.2.188,4.153.25.0/24,443,TCP,60
2026-08-05 07:28:48.999433+07:00,192.168.2.166,8.8.8.0/24,53,UDP,56
2026-08-05 07:28:48.999940+07:00,192.168.2.166,8.8.8.0/24,53,UDP,56
2026-08-05 07:28:48.999940+07:00,192.168.2.166,8.8.4.0/24,443,UDP,1278
2026-08-05 07:28:53.049464+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-05 07:28:53.319635+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-05 07:28:56.239747+07:00,192.168.2.188,142.251.153.0/24,443,TCP,60
2026-08-05 07:28:56.349905+07:00,192.168.2.188,142.251.153.0/24,443,TCP,60
2026-08-05 07:28:56.861021+07:00,192.168.2.188,13.251.183.0/24,443,TCP,60
2026-08-05 07:28:59.049571+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-05 07:28:59.359400+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-05 07:29:00.760652+07:00,192.168.2.188,172.217.119.0/24,443,TCP,60
2026-08-05 07:29:00.761590+07:00,192.168.2.188,13.35.1.0/24,443,TCP,60
2026-08-05 07:29:00.999752+07:00,192.168.2.188,74.125.24.0/24,443,UDP,1278
2026-08-05 07:29:01.820654+07:00,192.168.2.188,142.250.4.0/24,443,UDP,1278
2026-08-05 07:29:08.679584+07:00,192.168.2.119,8.8.8.0/24,443,UDP,1228
2026-08-05 07:29:08.809554+07:00,192.168.2.119,173.231.16.0/24,443,TCP,60
2026-08-05 07:29:12.629787+07:00,192.168.2.119,8.8.8.0/24,53,UDP,60
2026-08-05 07:29:14.289439+07:00,192.168.2.166,34.104.35.0/24,80,TCP,52
2026-08-05 07:29:14.678954+07:00,192.168.2.188,57.144.101.0/24,443,TCP,60
2026-08-05 07:29:15.359752+07:00,192.168.2.188,57.144.193.0/24,443,TCP,60
2026-08-05 07:29:18.779246+07:00,192.168.2.114,57.144.160.0/24,443,TCP,60
2026-08-05 07:29:18.779998+07:00,192.168.2.114,57.144.192.0/24,443,UDP,1280
2026-08-05 07:29:18.779998+07:00,192.168.2.114,57.144.192.0/24,443,TCP,60
