received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-08-19 09:46:51.970270+07:00,192.168.2.139,142.250.4.0/24,443,UDP,875
2026-08-19 09:46:55.620845+07:00,192.168.2.148,35.186.224.0/24,443,TCP,60
2026-08-19 09:46:59.170375+07:00,192.168.2.148,47.236.6.0/24,443,TCP,60
2026-08-19 09:46:59.540212+07:00,192.168.2.148,47.236.6.0/24,443,TCP,60
2026-08-19 09:47:04.470212+07:00,192.168.2.139,172.217.118.0/24,443,UDP,100
2026-08-19 09:47:05.360397+07:00,192.168.2.148,34.128.9.0/24,443,TCP,60
2026-08-19 09:47:07.550182+07:00,192.168.2.115,20.190.144.0/24,443,TCP,60
2026-08-19 09:47:07.840294+07:00,192.168.2.115,172.217.119.0/24,443,UDP,1278
2026-08-19 09:47:07.841123+07:00,192.168.2.139,8.8.8.0/24,53,UDP,60
2026-08-19 09:47:08.470264+07:00,192.168.2.115,13.69.116.0/24,443,TCP,60
2026-08-19 09:47:08.920000+07:00,192.168.2.148,35.186.224.0/24,443,TCP,60
2026-08-19 09:47:09.520047+07:00,192.168.2.115,20.57.103.0/24,443,TCP,60
2026-08-19 09:47:09.859962+07:00,192.168.2.115,4.150.223.0/24,443,TCP,60
2026-08-19 09:47:10.889731+07:00,192.168.2.115,142.250.4.0/24,443,UDP,1278
2026-08-19 09:47:14.170272+07:00,192.168.2.115,172.217.119.0/24,443,UDP,1278
2026-08-19 09:47:14.880271+07:00,192.168.2.115,122.144.2.0/24,443,UDP,1278
2026-08-19 09:47:16.820506+07:00,192.168.2.115,172.217.119.0/24,443,UDP,1278
2026-08-19 09:47:25.009988+07:00,192.168.2.139,64.233.170.0/24,443,UDP,1278
2026-08-19 09:47:26.079854+07:00,192.168.2.148,35.186.224.0/24,443,TCP,60
2026-08-19 09:47:28.630335+07:00,192.168.2.190,8.8.8.0/24,53,UDP,156
2026-08-19 09:47:28.960464+07:00,192.168.2.190,172.217.118.0/24,443,TCP,60
2026-08-19 09:47:29.911077+07:00,192.168.2.139,8.8.8.0/24,53,UDP,60
2026-08-19 09:47:35.260217+07:00,192.168.2.113,8.8.4.0/24,443,TCP,589
2026-08-19 09:47:35.260217+07:00,192.168.2.113,57.144.193.0/24,443,TCP,64
2026-08-19 09:47:35.261219+07:00,192.168.2.113,57.144.101.0/24,5222,TCP,64
2026-08-19 09:47:38.903843+07:00,192.168.2.148,35.186.224.0/24,443,TCP,60
2026-08-19 09:47:41.619873+07:00,192.168.2.148,35.186.224.0/24,443,TCP,60
2026-08-19 09:47:43.169224+07:00,192.168.2.139,172.217.112.0/24,443,UDP,1278
2026-08-19 09:47:43.289813+07:00,192.168.2.139,172.217.112.0/24,443,UDP,1278
2026-08-19 09:47:43.940099+07:00,192.168.2.139,172.217.112.0/24,443,UDP,1278
2026-08-19 09:47:44.870056+07:00,192.168.2.139,172.217.112.0/24,443,UDP,1278
2026-08-19 09:47:48.280754+07:00,192.168.2.161,8.8.8.0/24,53,UDP,64
2026-08-19 09:47:48.280754+07:00,192.168.2.161,172.217.113.0/24,443,UDP,1278
2026-08-19 09:47:49.870109+07:00,192.168.2.148,172.217.119.0/24,443,TCP,60
2026-08-19 09:47:52.470382+07:00,192.168.2.139,74.125.24.0/24,443,UDP,1278
2026-08-19 09:47:52.820199+07:00,192.168.2.139,74.125.130.0/24,443,TCP,60
2026-08-19 09:47:57.060198+07:00,192.168.2.148,35.186.224.0/24,443,TCP,60
2026-08-19 09:48:00.629876+07:00,192.168.2.190,57.144.193.0/24,5222,TCP,60
2026-08-19 09:48:00.629876+07:00,192.168.2.190,8.8.8.0/24,443,UDP,1228
2026-08-19 09:48:01.649970+07:00,192.168.2.190,4.209.75.0/24,443,TCP,60
2026-08-19 09:48:02.190480+07:00,192.168.2.139,142.251.12.0/24,443,UDP,1278
2026-08-19 09:48:03.209921+07:00,192.168.2.190,114.141.48.0/24,123,UDP,76
2026-08-19 09:48:03.430904+07:00,192.168.2.190,57.144.193.0/24,443,UDP,1280
2026-08-19 09:48:03.950115+07:00,192.168.2.139,74.125.200.0/24,443,UDP,1278
2026-08-19 09:48:08.910324+07:00,192.168.2.148,35.186.224.0/24,443,TCP,60
2026-08-19 09:48:10.919901+07:00,192.168.2.148,157.240.15.0/24,5222,TCP,60
2026-08-19 09:48:11.649618+07:00,192.168.2.148,57.144.193.0/24,443,UDP,1280
2026-08-19 09:48:12.300400+07:00,192.168.2.148,31.13.95.0/24,443,TCP,60
2026-08-19 09:48:13.031236+07:00,192.168.2.148,57.144.193.0/24,443,UDP,1280
2026-08-19 09:48:13.031236+07:00,192.168.2.148,216.239.35.0/24,123,UDP,76
2026-08-19 09:48:13.309836+07:00,192.168.2.148,35.186.224.0/24,443,TCP,60
2026-08-19 09:48:28.549974+07:00,192.168.2.148,35.186.224.0/24,443,TCP,60
2026-08-19 09:48:38.919723+07:00,192.168.2.148,35.186.224.0/24,443,TCP,60
2026-08-19 09:48:43.580410+07:00,192.168.2.148,35.186.224.0/24,443,TCP,60
2026-08-19 09:48:49.505689+07:00,192.168.2.150,8.8.8.0/24,53,UDP,56
2026-08-19 09:48:49.506230+07:00,192.168.2.150,8.8.8.0/24,53,UDP,56
2026-08-19 09:48:49.506230+07:00,192.168.2.150,8.8.4.0/24,443,TCP,64
