tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-07-26,07:00,192.168.2.165,1,1,1,1,0,44,44.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0
2026-07-26,07:00,192.168.2.191,44,18,6,22,22,16226,368.77,9,26,9,0,0.2045,0.5909,0.2045,0.0,0.4091
2026-07-26,07:00,192.168.2.195,4,4,3,1,3,2416,604.0,0,2,2,0,0.0,0.5,0.5,0.0,1.0
2026-07-26,08:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-26,08:00,192.168.2.191,96,28,6,52,44,28621,298.14,26,62,8,0,0.2708,0.6458,0.0833,0.0,0.2917
2026-07-26,08:00,192.168.2.195,138,49,4,67,71,65137,472.01,11,110,17,0,0.0797,0.7971,0.1232,0.0,0.3551
2026-07-26,09:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-26,09:00,192.168.2.191,21,12,1,12,9,12022,572.48,0,21,0,0,0.0,1.0,0.0,0.0,0.5714
2026-07-26,09:00,192.168.2.195,133,61,6,65,68,52338,393.52,17,90,26,0,0.1278,0.6767,0.1955,0.0,0.4586
2026-07-26,10:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-26,10:00,192.168.2.191,4,3,1,2,2,2576,644.0,0,4,0,0,0.0,1.0,0.0,0.0,0.75
2026-07-26,10:00,192.168.2.195,63,31,2,22,41,46296,734.86,2,61,0,0,0.0317,0.9683,0.0,0.0,0.4921
2026-07-26,11:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-26,11:00,192.168.2.191,30,16,1,16,14,18702,623.4,0,30,0,0,0.0,1.0,0.0,0.0,0.5333
2026-07-26,11:00,192.168.2.195,297,55,2,47,250,125261,421.75,30,267,0,0,0.101,0.899,0.0,0.0,0.1852
2026-07-26,12:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-26,12:00,192.168.2.191,13,7,1,11,2,3116,239.69,0,13,0,0,0.0,1.0,0.0,0.0,0.5385
2026-07-26,12:00,192.168.2.195,150,46,7,53,97,84046,560.31,8,130,9,3,0.0533,0.8667,0.06,0.02,0.3067
2026-07-26,13:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-26,13:00,192.168.2.191,77,35,4,51,26,21786,282.94,6,66,5,0,0.0779,0.8571,0.0649,0.0,0.4545
2026-07-26,13:00,192.168.2.195,14,9,1,9,5,6830,487.86,0,14,0,0,0.0,1.0,0.0,0.0,0.6429
2026-07-26,14:00,192.168.2.165,4,1,1,4,0,176,44.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-07-26,14:00,192.168.2.191,53,25,4,39,14,14028,264.68,3,48,2,0,0.0566,0.9057,0.0377,0.0,0.4717
2026-07-26,14:00,192.168.2.195,69,31,2,52,17,15242,220.9,6,63,0,0,0.087,0.913,0.0,0.0,0.4493
2026-07-26,15:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-26,15:00,192.168.2.191,118,37,2,60,58,38375,325.21,31,87,0,0,0.2627,0.7373,0.0,0.0,0.3136
2026-07-26,15:00,192.168.2.195,259,72,6,116,143,128702,496.92,22,232,5,0,0.0849,0.8958,0.0193,0.0,0.278
2026-07-26,16:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-26,16:00,192.168.2.191,87,16,2,18,69,18368,211.13,58,29,0,0,0.6667,0.3333,0.0,0.0,0.1839
2026-07-26,16:00,192.168.2.195,227,49,2,86,141,83945,369.8,44,183,0,0,0.1938,0.8062,0.0,0.0,0.2159
2026-07-26,17:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-26,17:00,192.168.2.191,117,40,6,43,74,37714,322.34,44,66,7,0,0.3761,0.5641,0.0598,0.0,0.3419
2026-07-26,17:00,192.168.2.195,223,46,3,54,169,91084,408.45,54,168,1,0,0.2422,0.7534,0.0045,0.0,0.2063
2026-07-26,18:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-26,18:00,192.168.2.191,119,43,8,68,51,41209,346.29,14,86,19,0,0.1176,0.7227,0.1597,0.0,0.3613
2026-07-26,18:00,192.168.2.195,214,48,2,58,156,94173,440.06,48,166,0,0,0.2243,0.7757,0.0,0.0,0.2243
2026-07-26,19:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-26,19:00,192.168.2.191,111,49,5,53,58,47572,428.58,14,90,7,0,0.1261,0.8108,0.0631,0.0,0.4414
2026-07-26,19:00,192.168.2.195,83,34,2,47,36,22234,267.88,18,65,0,0,0.2169,0.7831,0.0,0.0,0.4096
2026-07-26,20:00,192.168.2.165,4,1,1,4,0,176,44.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-07-26,20:00,192.168.2.191,107,29,7,49,58,42036,392.86,25,57,22,3,0.2336,0.5327,0.2056,0.028,0.271
2026-07-26,20:00,192.168.2.195,107,41,3,43,64,46495,434.53,20,87,0,0,0.1869,0.8131,0.0,0.0,0.3832
2026-07-26,21:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-26,21:00,192.168.2.191,7,5,4,2,5,4932,704.57,0,5,2,0,0.0,0.7143,0.2857,0.0,0.7143
2026-07-26,21:00,192.168.2.195,126,24,2,7,119,65950,523.41,34,92,0,0,0.2698,0.7302,0.0,0.0,0.1905
2026-07-26,22:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-26,22:00,192.168.2.191,112,44,5,76,36,40570,362.23,2,107,3,0,0.0179,0.9554,0.0268,0.0,0.3929
2026-07-26,22:00,192.168.2.195,135,33,2,38,97,67760,501.93,26,109,0,0,0.1926,0.8074,0.0,0.0,0.2444
