received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-08-03 09:38:19.816645+07:00,192.168.2.159,8.8.8.0/24,443,UDP,1228
2026-08-03 09:38:20.016792+07:00,192.168.2.166,8.8.8.0/24,53,UDP,64
2026-08-03 09:38:20.017819+07:00,192.168.2.166,8.8.8.0/24,53,UDP,64
2026-08-03 09:38:20.017819+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-03 09:38:20.357738+07:00,192.168.2.159,172.217.115.0/24,443,UDP,1278
2026-08-03 09:38:21.897185+07:00,192.168.2.159,34.107.165.0/24,443,TCP,60
2026-08-03 09:38:22.835801+07:00,192.168.2.159,20.42.65.0/24,443,TCP,60
2026-08-03 09:38:24.105567+07:00,192.168.2.166,57.144.151.0/24,443,TCP,52
2026-08-03 09:38:24.505472+07:00,192.168.2.159,108.138.141.0/24,443,TCP,60
2026-08-03 09:38:25.476438+07:00,192.168.2.159,54.169.124.0/24,443,TCP,60
2026-08-03 09:38:26.665848+07:00,192.168.2.159,52.76.89.0/24,443,TCP,60
2026-08-03 09:38:27.128188+07:00,192.168.2.166,57.144.193.0/24,443,TCP,52
2026-08-03 09:38:28.115432+07:00,192.168.2.166,146.112.41.0/24,443,TCP,52
2026-08-03 09:38:29.165460+07:00,192.168.2.159,103.105.56.0/24,123,UDP,76
2026-08-03 09:38:30.146034+07:00,192.168.2.162,57.144.101.0/24,443,UDP,1280
2026-08-03 09:38:33.155614+07:00,192.168.2.159,142.250.4.0/24,443,UDP,1278
2026-08-03 09:38:36.185607+07:00,192.168.2.166,160.79.104.0/24,443,TCP,52
2026-08-03 09:38:36.385691+07:00,192.168.2.166,8.8.8.0/24,53,UDP,61
2026-08-03 09:38:40.096854+07:00,192.168.2.101,8.8.8.0/24,53,UDP,70
2026-08-03 09:38:40.315998+07:00,192.168.2.101,8.8.8.0/24,53,UDP,70
2026-08-03 09:38:40.317040+07:00,192.168.2.101,8.211.12.0/24,443,TCP,60
2026-08-03 09:38:47.375941+07:00,192.168.2.101,8.8.8.0/24,53,TCP,60
2026-08-03 09:38:47.376486+07:00,192.168.2.101,8.8.8.0/24,53,UDP,63
2026-08-03 09:38:47.376486+07:00,192.168.2.101,8.8.8.0/24,53,UDP,63
2026-08-03 09:38:47.377137+07:00,192.168.2.101,17.253.118.0/24,80,TCP,60
2026-08-03 09:38:48.756975+07:00,192.168.2.166,64.233.170.0/24,443,TCP,52
2026-08-03 09:38:51.617393+07:00,192.168.2.101,8.8.8.0/24,53,UDP,72
2026-08-03 09:38:51.617393+07:00,192.168.2.101,157.240.202.0/24,443,UDP,1280
2026-08-03 09:38:51.617393+07:00,192.168.2.101,8.8.8.0/24,53,UDP,72
2026-08-03 09:38:52.995369+07:00,192.168.2.101,114.114.114.0/24,53,UDP,67
2026-08-03 09:38:53.455788+07:00,192.168.2.101,8.8.8.0/24,53,UDP,67
2026-08-03 09:38:55.827390+07:00,192.168.2.110,8.8.8.0/24,443,UDP,1228
2026-08-03 09:38:55.827390+07:00,192.168.2.110,172.217.113.0/24,443,UDP,1278
2026-08-03 09:39:00.466482+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-03 09:39:12.116158+07:00,192.168.2.110,57.144.101.0/24,443,TCP,60
2026-08-03 09:39:19.925254+07:00,192.168.2.166,146.112.41.0/24,443,TCP,52
2026-08-03 09:39:20.095872+07:00,192.168.2.166,74.125.24.0/24,443,TCP,52
2026-08-03 09:39:20.095872+07:00,192.168.2.166,8.8.8.0/24,53,UDP,61
2026-08-03 09:39:20.095872+07:00,192.168.2.166,8.8.8.0/24,53,UDP,61
2026-08-03 09:39:20.096767+07:00,192.168.2.166,35.186.224.0/24,443,UDP,1278
2026-08-03 09:39:23.157942+07:00,192.168.2.101,8.8.8.0/24,53,UDP,69
2026-08-03 09:39:25.385908+07:00,192.168.2.101,8.8.8.0/24,53,UDP,82
2026-08-03 09:39:26.205773+07:00,192.168.2.101,8.8.8.0/24,53,UDP,75
2026-08-03 09:39:27.267344+07:00,192.168.2.101,18.64.37.0/24,443,TCP,60
2026-08-03 09:39:29.505918+07:00,192.168.2.101,54.192.164.0/24,443,TCP,60
2026-08-03 09:39:30.477238+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-03 09:39:31.426105+07:00,192.168.2.101,47.91.91.0/24,443,TCP,60
2026-08-03 09:39:32.145954+07:00,192.168.2.166,8.8.8.0/24,53,UDP,66
2026-08-03 09:39:35.537517+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-03 09:39:41.547420+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-03 09:39:42.625730+07:00,192.168.2.145,51.81.57.0/24,2002,UDP,1052
2026-08-03 09:39:45.586161+07:00,192.168.2.101,172.217.114.0/24,443,TCP,60
2026-08-03 09:39:46.085557+07:00,192.168.2.101,8.8.8.0/24,53,UDP,60
2026-08-03 09:39:46.325496+07:00,192.168.2.101,8.8.8.0/24,53,UDP,60
2026-08-03 09:39:46.475405+07:00,192.168.2.166,146.112.41.0/24,443,TCP,52
2026-08-03 09:39:46.475405+07:00,192.168.2.101,8.8.4.0/24,443,TCP,60
2026-08-03 09:39:46.605586+07:00,192.168.2.101,91.108.56.0/24,5222,TCP,60
2026-08-03 09:39:46.606233+07:00,192.168.2.101,194.221.250.0/24,443,TCP,60
2026-08-03 09:39:48.015682+07:00,192.168.2.166,146.112.41.0/24,443,TCP,52
2026-08-03 09:39:48.016210+07:00,192.168.2.166,108.138.141.0/24,443,TCP,52
2026-08-03 09:39:49.125740+07:00,192.168.2.166,34.128.10.0/24,443,TCP,52
2026-08-03 09:39:51.356776+07:00,192.168.2.166,142.251.10.0/24,443,TCP,52
2026-08-03 09:39:51.949147+07:00,192.168.2.166,74.125.130.0/24,443,TCP,52
2026-08-03 09:39:52.215672+07:00,192.168.2.166,142.250.4.0/24,443,TCP,52
2026-08-03 09:39:58.165712+07:00,192.168.2.100,8.8.8.0/24,443,UDP,1228
2026-08-03 09:39:58.166690+07:00,192.168.2.100,8.209.71.0/24,443,TCP,60
2026-08-03 09:40:00.475604+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-03 09:40:10.905292+07:00,192.168.2.166,146.112.41.0/24,443,TCP,52
2026-08-03 09:40:11.235498+07:00,192.168.2.166,64.233.170.0/24,443,TCP,52
2026-08-03 09:40:15.517608+07:00,192.168.2.166,204.79.197.0/24,443,TCP,52
2026-08-03 09:40:15.517608+07:00,192.168.2.166,150.171.110.0/24,443,TCP,52
2026-08-03 09:40:15.517608+07:00,192.168.2.166,20.184.175.0/24,443,TCP,52
2026-08-03 09:40:15.518116+07:00,192.168.2.166,103.154.227.0/24,443,TCP,52
2026-08-03 09:40:15.518116+07:00,192.168.2.166,45.121.219.0/24,443,TCP,52
2026-08-03 09:40:15.518549+07:00,192.168.2.166,13.35.1.0/24,443,TCP,52
2026-08-03 09:40:16.205383+07:00,192.168.2.166,172.64.154.0/24,443,TCP,52
2026-08-03 09:40:17.725496+07:00,192.168.2.166,204.79.197.0/24,443,TCP,52
2026-08-03 09:40:19.524750+07:00,192.168.2.159,8.8.8.0/24,443,UDP,1228
2026-08-03 09:40:19.635186+07:00,192.168.2.159,185.125.190.0/24,123,UDP,76
2026-08-03 09:40:22.785188+07:00,192.168.2.100,142.251.153.0/24,443,UDP,100
2026-08-03 09:40:22.785896+07:00,192.168.2.100,142.251.12.0/24,443,UDP,100
2026-08-03 09:40:25.155478+07:00,192.168.2.100,8.8.8.0/24,443,UDP,230
