tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-07-22,00:00,192.168.2.120,27,12,6,12,15,14169,524.7777777777778,2,17,8,0,0.0741,0.6296,0.2963,0.0,0.4444
2026-07-22,00:00,192.168.2.139,10,5,1,4,6,6856,685.6,0,10,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-22,00:00,192.168.2.140,8,4,4,4,4,1670,208.75,4,4,0,0,0.5,0.5,0.0,0.0,0.5
2026-07-22,00:00,192.168.2.145,15,7,2,9,6,6959,463.93333333333334,0,13,2,0,0.0,0.8667,0.1333,0.0,0.4667
2026-07-22,00:00,192.168.2.146,227,63,6,144,83,81588,359.4185022026432,4,218,5,0,0.0176,0.9604,0.022,0.0,0.2775
2026-07-22,00:00,192.168.2.148,162,55,8,104,58,40141,247.78395061728395,15,134,11,2,0.0926,0.8272,0.0679,0.0123,0.3395
2026-07-22,00:00,192.168.2.149,60,33,6,42,18,18654,310.9,4,52,1,3,0.0667,0.8667,0.0167,0.05,0.55
2026-07-22,00:00,192.168.2.152,110,39,3,36,74,57047,518.6090909090909,29,81,0,0,0.2636,0.7364,0.0,0.0,0.3545
2026-07-22,00:00,192.168.2.163,252,27,5,37,215,36773,145.92460317460316,117,130,5,0,0.4643,0.5159,0.0198,0.0,0.1071
2026-07-22,00:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-22,00:00,192.168.2.166,533,102,3,444,89,58987,110.66979362101313,57,476,0,0,0.1069,0.8931,0.0,0.0,0.1914
2026-07-22,00:00,192.168.2.169,128,40,9,83,45,37400,292.1875,13,103,11,1,0.1016,0.8047,0.0859,0.0078,0.3125
2026-07-22,00:00,192.168.2.184,123,31,7,95,28,20162,163.91869918699186,5,111,7,0,0.0407,0.9024,0.0569,0.0,0.252
2026-07-22,00:00,192.168.2.187,50,21,6,41,9,12826,256.52,11,37,2,0,0.22,0.74,0.04,0.0,0.42
2026-07-22,00:00,192.168.2.191,113,47,3,75,38,38312,339.04424778761063,9,103,1,0,0.0796,0.9115,0.0088,0.0,0.4159
2026-07-22,00:00,192.168.2.195,15,9,1,12,3,4454,296.93333333333334,0,15,0,0,0.0,1.0,0.0,0.0,0.6
2026-07-22,01:00,192.168.2.120,2,1,1,0,2,2456,1228.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-22,01:00,192.168.2.139,76,34,2,60,16,20540,270.2631578947368,1,75,0,0,0.0132,0.9868,0.0,0.0,0.4474
2026-07-22,01:00,192.168.2.145,14,7,2,6,8,10334,738.1428571428571,0,13,1,0,0.0,0.9286,0.0714,0.0,0.5
