tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-08-09,00:00,192.168.2.159,14,5,2,6,8,2178,155.57142857142858,6,8,0,0,0.4286,0.5714,0.0,0.0,0.3571
2026-08-09,00:00,192.168.2.195,2,2,1,1,1,1288,644.0,0,2,0,0,0.0,1.0,0.0,0.0,1.0
2026-08-09,01:00,192.168.2.115,30,21,3,17,13,16282,542.7333333333333,0,28,2,0,0.0,0.9333,0.0667,0.0,0.7
2026-08-09,01:00,192.168.2.159,240,36,4,98,142,87162,363.175,59,179,2,0,0.2458,0.7458,0.0083,0.0,0.15
2026-08-09,01:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-09,01:00,192.168.2.195,175,47,2,56,119,71140,406.51428571428573,31,144,0,0,0.1771,0.8229,0.0,0.0,0.2686
2026-08-09,02:00,192.168.2.115,12,9,3,5,7,5476,456.3333333333333,1,9,2,0,0.0833,0.75,0.1667,0.0,0.75
2026-08-09,02:00,192.168.2.159,88,22,3,29,59,23393,265.82954545454544,42,42,4,0,0.4773,0.4773,0.0455,0.0,0.25
2026-08-09,02:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-09,02:00,192.168.2.195,234,49,2,72,162,84180,359.7435897435897,60,174,0,0,0.2564,0.7436,0.0,0.0,0.2094
2026-08-09,03:00,192.168.2.115,4,3,1,1,3,3844,961.0,0,4,0,0,0.0,1.0,0.0,0.0,0.75
2026-08-09,03:00,192.168.2.159,99,38,4,62,37,23680,239.1919191919192,21,76,2,0,0.2121,0.7677,0.0202,0.0,0.3838
2026-08-09,03:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-09,03:00,192.168.2.195,231,43,2,55,176,99341,430.04761904761904,51,180,0,0,0.2208,0.7792,0.0,0.0,0.1861
2026-08-09,04:00,192.168.2.115,262,57,4,100,162,92990,354.9236641221374,68,192,1,1,0.2595,0.7328,0.0038,0.0038,0.2176
2026-08-09,04:00,192.168.2.159,179,52,5,116,63,59065,329.97206703910615,18,156,5,0,0.1006,0.8715,0.0279,0.0,0.2905
2026-08-09,04:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-09,04:00,192.168.2.195,256,69,6,143,113,85395,333.57421875,29,216,11,0,0.1133,0.8438,0.043,0.0,0.2695
2026-08-09,05:00,192.168.2.115,598,143,9,179,419,241481,403.814381270903,47,489,59,3,0.0786,0.8177,0.0987,0.005,0.2391
2026-08-09,05:00,192.168.2.159,38,16,2,24,14,16837,443.07894736842104,0,35,3,0,0.0,0.9211,0.0789,0.0,0.4211
2026-08-09,05:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-09,05:00,192.168.2.195,162,38,2,65,97,59122,364.95061728395063,26,136,0,0,0.1605,0.8395,0.0,0.0,0.2346
2026-08-09,06:00,192.168.2.115,382,73,7,136,246,96220,251.8848167539267,130,245,6,1,0.3403,0.6414,0.0157,0.0026,0.1911
