received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-08-13 07:38:40.511455+07:00,192.168.2.113,17.253.61.0/24,443,TCP,64
2026-08-13 07:38:42.362119+07:00,192.168.2.139,57.144.192.0/24,443,UDP,96
2026-08-13 07:38:42.551392+07:00,192.168.2.113,23.40.63.0/24,443,TCP,64
2026-08-13 07:38:42.671317+07:00,192.168.2.113,23.11.38.0/24,80,TCP,64
2026-08-13 07:38:44.811546+07:00,192.168.2.152,8.8.8.0/24,53,UDP,77
2026-08-13 07:38:44.812083+07:00,192.168.2.152,8.8.8.0/24,53,UDP,77
2026-08-13 07:38:46.061929+07:00,192.168.2.113,57.144.193.0/24,5222,TCP,64
2026-08-13 07:38:46.331692+07:00,192.168.2.113,57.144.193.0/24,443,TCP,64
2026-08-13 07:38:47.161835+07:00,192.168.2.113,31.13.95.0/24,443,TCP,64
2026-08-13 07:38:48.771316+07:00,192.168.2.113,57.144.193.0/24,443,TCP,64
2026-08-13 07:38:49.331635+07:00,192.168.2.166,8.8.8.0/24,53,UDP,63
2026-08-13 07:38:50.072578+07:00,192.168.2.113,57.144.193.0/24,443,TCP,64
2026-08-13 07:38:51.581418+07:00,192.168.2.139,57.144.192.0/24,443,UDP,64
2026-08-13 07:38:52.241367+07:00,192.168.2.139,103.105.56.0/24,123,UDP,76
2026-08-13 07:38:56.641576+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-13 07:38:57.591932+07:00,192.168.2.159,34.160.125.0/24,443,TCP,60
2026-08-13 07:38:57.961357+07:00,192.168.2.166,8.8.8.0/24,53,UDP,66
2026-08-13 07:38:57.961357+07:00,192.168.2.166,34.233.49.0/24,443,TCP,52
2026-08-13 07:38:59.761349+07:00,192.168.2.166,34.233.49.0/24,443,TCP,52
2026-08-13 07:39:00.542722+07:00,192.168.2.113,57.144.193.0/24,443,TCP,64
2026-08-13 07:39:01.201622+07:00,192.168.2.185,172.217.116.0/24,443,TCP,60
2026-08-13 07:39:04.011926+07:00,192.168.2.139,8.8.8.0/24,53,UDP,60
2026-08-13 07:39:07.151054+07:00,192.168.2.159,34.102.182.0/24,443,TCP,60
2026-08-13 07:39:08.011464+07:00,192.168.2.159,34.120.88.0/24,443,TCP,60
2026-08-13 07:39:08.321469+07:00,192.168.2.185,8.211.5.0/24,443,TCP,60
