tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-08-20,00:00,192.168.2.113,343,14,4,264,79,43774,127.62099125364432,60,148,135,0,0.1749,0.4315,0.3936,0.0,0.0408
2026-08-20,00:00,192.168.2.115,98,8,2,34,64,77217,787.9285714285714,0,83,15,0,0.0,0.8469,0.1531,0.0,0.0816
2026-08-20,00:00,192.168.2.122,333,52,6,219,114,133926,402.1801801801802,12,309,12,0,0.036,0.9279,0.036,0.0,0.1562
2026-08-20,00:00,192.168.2.139,963,59,9,604,359,326142,338.67289719626166,90,795,66,12,0.0935,0.8255,0.0685,0.0125,0.0613
2026-08-20,00:00,192.168.2.140,653,50,5,437,216,209305,320.5283307810107,29,609,15,0,0.0444,0.9326,0.023,0.0,0.0766
2026-08-20,00:00,192.168.2.145,76,11,2,44,32,38444,505.8421052631579,0,73,3,0,0.0,0.9605,0.0395,0.0,0.1447
2026-08-20,00:00,192.168.2.150,2379,94,38,699,1680,867191,364.5191256830601,69,2033,50,227,0.029,0.8546,0.021,0.0954,0.0395
2026-08-20,00:00,192.168.2.154,368,25,5,220,148,96574,262.42934782608694,83,216,69,0,0.2255,0.587,0.1875,0.0,0.0679
2026-08-20,00:00,192.168.2.158,508,53,7,268,240,157175,309.3996062992126,68,421,11,8,0.1339,0.8287,0.0217,0.0157,0.1043
2026-08-20,00:00,192.168.2.159,173,18,3,105,68,67802,391.91907514450867,15,150,8,0,0.0867,0.8671,0.0462,0.0,0.104
2026-08-20,00:00,192.168.2.161,194,21,6,80,114,58357,300.80927835051546,54,119,18,3,0.2784,0.6134,0.0928,0.0155,0.1082
2026-08-20,00:00,192.168.2.163,848,60,5,515,333,243668,287.3443396226415,12,816,20,0,0.0142,0.9623,0.0236,0.0,0.0708
2026-08-20,00:00,192.168.2.165,10,1,1,10,0,440,44.0,0,10,0,0,0.0,1.0,0.0,0.0,0.1
2026-08-20,00:00,192.168.2.174,269,29,5,222,47,80531,299.3717472118959,50,204,15,0,0.1859,0.7584,0.0558,0.0,0.1078
2026-08-20,00:00,192.168.2.177,117,16,1,76,41,50630,432.7350427350427,0,117,0,0,0.0,1.0,0.0,0.0,0.1368
2026-08-20,00:00,192.168.2.181,927,94,4,516,411,323334,348.79611650485435,156,726,45,0,0.1683,0.7832,0.0485,0.0,0.1014
2026-08-20,00:00,192.168.2.185,998,61,1,630,368,366046,366.7795591182365,0,998,0,0,0.0,1.0,0.0,0.0,0.0611
2026-08-20,00:00,192.168.2.195,6,2,1,0,6,7518,1253.0,0,6,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-20,01:00,192.168.2.113,159,7,3,135,24,32034,201.47169811320754,24,87,48,0,0.1509,0.5472,0.3019,0.0,0.044
2026-08-20,01:00,192.168.2.115,1443,95,7,273,1170,465759,322.77130977130975,483,930,21,9,0.3347,0.6445,0.0146,0.0062,0.0658
2026-08-20,01:00,192.168.2.122,306,46,4,216,90,97707,319.30392156862746,9,291,6,0,0.0294,0.951,0.0196,0.0,0.1503
2026-08-20,01:00,192.168.2.139,252,38,3,120,132,138804,550.8095238095239,0,240,12,0,0.0,0.9524,0.0476,0.0,0.1508
2026-08-20,01:00,192.168.2.140,351,51,2,249,102,126993,361.8034188034188,0,339,12,0,0.0,0.9658,0.0342,0.0,0.1453
2026-08-20,01:00,192.168.2.145,51,8,2,24,27,31755,622.6470588235294,0,45,6,0,0.0,0.8824,0.1176,0.0,0.1569
2026-08-20,01:00,192.168.2.150,144,23,4,48,96,90333,627.3125,15,120,9,0,0.1042,0.8333,0.0625,0.0,0.1597
2026-08-20,01:00,192.168.2.154,174,22,5,102,72,56754,326.17241379310343,33,120,21,0,0.1897,0.6897,0.1207,0.0,0.1264
2026-08-20,01:00,192.168.2.158,144,23,4,99,45,52374,363.7083333333333,0,123,18,3,0.0,0.8542,0.125,0.0208,0.1597
2026-08-20,01:00,192.168.2.159,45,13,4,15,30,23898,531.0666666666667,3,33,9,0,0.0667,0.7333,0.2,0.0,0.2889
2026-08-20,01:00,192.168.2.161,366,30,6,135,231,109161,298.25409836065575,102,240,24,0,0.2787,0.6557,0.0656,0.0,0.082
2026-08-20,01:00,192.168.2.163,324,40,3,156,168,156018,481.537037037037,0,315,9,0,0.0,0.9722,0.0278,0.0,0.1235
2026-08-20,01:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-20,01:00,192.168.2.166,1362,111,6,1065,297,95523,70.13436123348018,246,1026,90,0,0.1806,0.7533,0.0661,0.0,0.0815
2026-08-20,01:00,192.168.2.169,249,35,5,195,54,21366,85.80722891566265,48,129,0,72,0.1928,0.5181,0.0,0.2892,0.1406
2026-08-20,01:00,192.168.2.174,153,22,3,129,24,51726,338.078431372549,36,117,0,0,0.2353,0.7647,0.0,0.0,0.1438
2026-08-20,01:00,192.168.2.177,621,46,9,228,393,104889,168.90338164251207,3,282,264,72,0.0048,0.4541,0.4251,0.1159,0.0741
2026-08-20,01:00,192.168.2.181,711,79,3,273,438,323853,455.48945147679325,174,537,0,0,0.2447,0.7553,0.0,0.0,0.1111
2026-08-20,01:00,192.168.2.185,333,49,4,210,123,135300,406.3063063063063,3,318,12,0,0.009,0.955,0.036,0.0,0.1471
2026-08-20,01:00,192.168.2.194,375,58,5,261,114,113043,301.448,30,333,12,0,0.08,0.888,0.032,0.0,0.1547
2026-08-20,01:00,192.168.2.195,54,17,1,42,12,17706,327.8888888888889,0,54,0,0,0.0,1.0,0.0,0.0,0.3148
2026-08-20,01:00,192.168.2.196,936,55,7,702,234,90141,96.30448717948718,198,273,6,459,0.2115,0.2917,0.0064,0.4904,0.0588
2026-08-20,01:00,192.168.2.197,555,56,6,480,75,42402,76.4,81,306,6,162,0.1459,0.5514,0.0108,0.2919,0.1009
2026-08-20,02:00,192.168.2.113,98,15,3,67,31,24393,248.90816326530611,7,85,6,0,0.0714,0.8673,0.0612,0.0,0.1531
2026-08-20,02:00,192.168.2.115,503,33,7,93,410,171636,341.22465208747514,223,265,6,9,0.4433,0.5268,0.0119,0.0179,0.0656
2026-08-20,02:00,192.168.2.122,241,55,3,208,33,54310,225.35269709543567,0,227,14,0,0.0,0.9419,0.0581,0.0,0.2282
2026-08-20,02:00,192.168.2.139,300,31,6,165,135,108219,360.73,33,252,6,9,0.11,0.84,0.02,0.03,0.1033
2026-08-20,02:00,192.168.2.145,15,4,2,6,9,8715,581.0,0,12,3,0,0.0,0.8,0.2,0.0,0.2667
2026-08-20,02:00,192.168.2.150,101,23,3,47,54,51175,506.6831683168317,3,95,3,0,0.0297,0.9406,0.0297,0.0,0.2277
2026-08-20,02:00,192.168.2.154,62,13,4,30,32,33192,535.3548387096774,7,43,12,0,0.1129,0.6935,0.1935,0.0,0.2097
2026-08-20,02:00,192.168.2.158,72,16,3,51,21,23328,324.0,0,66,3,3,0.0,0.9167,0.0417,0.0417,0.2222
2026-08-20,02:00,192.168.2.159,18,8,1,12,6,8292,460.6666666666667,0,18,0,0,0.0,1.0,0.0,0.0,0.4444
2026-08-20,02:00,192.168.2.161,343,21,5,38,305,105093,306.3935860058309,87,241,15,0,0.2536,0.7026,0.0437,0.0,0.0612
2026-08-20,02:00,192.168.2.163,301,43,2,126,175,132148,439.0299003322259,0,298,3,0,0.0,0.99,0.01,0.0,0.1429
2026-08-20,02:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-20,02:00,192.168.2.166,1262,75,5,1113,149,88925,70.4635499207607,116,1083,63,0,0.0919,0.8582,0.0499,0.0,0.0594
2026-08-20,02:00,192.168.2.169,1407,43,6,831,576,174217,123.82160625444207,84,181,483,659,0.0597,0.1286,0.3433,0.4684,0.0306
2026-08-20,02:00,192.168.2.174,27,4,2,3,24,12666,469.1111111111111,12,15,0,0,0.4444,0.5556,0.0,0.0,0.1481
2026-08-20,02:00,192.168.2.177,133,22,1,100,33,37671,283.2406015037594,0,133,0,0,0.0,1.0,0.0,0.0,0.1654
2026-08-20,02:00,192.168.2.181,131,17,4,77,54,23280,177.70992366412213,41,57,33,0,0.313,0.4351,0.2519,0.0,0.1298
2026-08-20,02:00,192.168.2.185,107,29,1,90,17,24396,228.0,0,107,0,0,0.0,1.0,0.0,0.0,0.271
2026-08-20,02:00,192.168.2.194,259,46,6,169,90,107695,415.81081081081084,6,244,6,3,0.0232,0.9421,0.0232,0.0116,0.1776
2026-08-20,02:00,192.168.2.196,1255,52,7,728,527,164457,131.0414342629482,105,258,410,482,0.0837,0.2056,0.3267,0.3841,0.0414
2026-08-20,02:00,192.168.2.197,1441,54,6,1051,390,138264,95.9500346981263,132,299,271,739,0.0916,0.2075,0.1881,0.5128,0.0375
