received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-08-09 07:54:05.249876+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 07:54:31.769030+07:00,192.168.2.195,8.8.8.0/24,443,UDP,1228
2026-08-09 07:54:31.769030+07:00,192.168.2.195,20.184.175.0/24,443,TCP,60
2026-08-09 07:55:05.328855+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 07:56:07.440984+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 07:57:08.551497+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 07:57:16.589442+07:00,192.168.2.159,8.8.8.0/24,443,UDP,1228
2026-08-09 07:57:16.748669+07:00,192.168.2.159,20.42.65.0/24,443,TCP,60
2026-08-09 07:57:35.779305+07:00,192.168.2.159,8.8.8.0/24,443,UDP,230
2026-08-09 07:57:35.779305+07:00,192.168.2.159,18.244.53.0/24,443,TCP,60
2026-08-09 07:57:36.479472+07:00,192.168.2.159,34.255.158.0/24,443,TCP,60
2026-08-09 07:57:36.479472+07:00,192.168.2.159,34.255.158.0/24,443,TCP,60
2026-08-09 07:57:36.479472+07:00,192.168.2.159,34.255.158.0/24,443,TCP,60
2026-08-09 07:57:36.480451+07:00,192.168.2.159,151.101.193.0/24,443,TCP,60
2026-08-09 07:58:14.709078+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 07:59:14.868898+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:00:14.968584+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:00:16.510489+07:00,192.168.2.195,20.184.175.0/24,443,TCP,60
2026-08-09 08:00:16.510489+07:00,192.168.2.195,52.123.164.0/24,443,TCP,60
2026-08-09 08:00:20.301221+07:00,192.168.2.195,52.123.176.0/24,443,TCP,60
2026-08-09 08:00:20.301221+07:00,192.168.2.195,8.8.8.0/24,443,UDP,1228
2026-08-09 08:00:20.852242+07:00,192.168.2.195,52.123.129.0/24,443,TCP,60
2026-08-09 08:01:15.078721+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:02:20.231642+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:03:20.329797+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:04:20.439255+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:05:25.559244+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:06:30.679162+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:07:30.789424+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:08:34.929734+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:09:17.731934+07:00,192.168.2.159,8.8.8.0/24,443,UDP,1228
2026-08-09 08:09:17.731934+07:00,192.168.2.159,172.217.114.0/24,443,UDP,1278
2026-08-09 08:09:17.732555+07:00,192.168.2.159,172.217.119.0/24,443,UDP,1278
2026-08-09 08:09:17.732555+07:00,192.168.2.159,172.217.112.0/24,443,UDP,1278
2026-08-09 08:09:18.059500+07:00,192.168.2.159,172.217.114.0/24,443,TCP,60
2026-08-09 08:09:18.930739+07:00,192.168.2.159,172.217.116.0/24,443,TCP,60
2026-08-09 08:09:20.280120+07:00,192.168.2.159,172.217.118.0/24,443,TCP,60
2026-08-09 08:09:21.419976+07:00,192.168.2.159,64.233.170.0/24,443,UDP,1278
2026-08-09 08:09:22.090382+07:00,192.168.2.159,64.233.170.0/24,443,UDP,1278
2026-08-09 08:09:23.039045+07:00,192.168.2.159,64.233.170.0/24,443,UDP,1278
2026-08-09 08:09:23.938452+07:00,192.168.2.159,172.217.114.0/24,443,TCP,60
2026-08-09 08:09:25.718859+07:00,192.168.2.159,172.217.113.0/24,443,UDP,1278
2026-08-09 08:09:27.429882+07:00,192.168.2.159,172.217.115.0/24,443,UDP,1278
2026-08-09 08:09:29.190738+07:00,192.168.2.159,172.217.117.0/24,443,TCP,60
2026-08-09 08:09:32.589488+07:00,192.168.2.159,172.217.113.0/24,443,UDP,1278
2026-08-09 08:09:32.949305+07:00,192.168.2.159,172.217.113.0/24,443,UDP,1278
2026-08-09 08:09:33.659026+07:00,192.168.2.159,172.217.113.0/24,443,UDP,1278
2026-08-09 08:09:34.039413+07:00,192.168.2.159,172.217.113.0/24,443,UDP,1278
2026-08-09 08:09:35.009015+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:10:12.430382+07:00,192.168.2.159,142.251.10.0/24,80,TCP,60
2026-08-09 08:10:12.799516+07:00,192.168.2.159,74.125.130.0/24,443,TCP,60
2026-08-09 08:10:12.799516+07:00,192.168.2.159,74.125.130.0/24,443,TCP,60
2026-08-09 08:10:12.799516+07:00,192.168.2.159,142.251.151.0/24,443,UDP,1278
2026-08-09 08:10:12.919468+07:00,192.168.2.159,74.125.130.0/24,443,UDP,1278
2026-08-09 08:10:14.570471+07:00,192.168.2.159,172.217.115.0/24,443,UDP,1278
2026-08-09 08:10:17.049373+07:00,192.168.2.159,8.8.8.0/24,443,TCP,60
2026-08-09 08:10:17.049373+07:00,192.168.2.159,8.8.8.0/24,443,TCP,60
2026-08-09 08:10:17.049373+07:00,192.168.2.159,8.8.8.0/24,443,TCP,60
2026-08-09 08:10:22.151408+07:00,192.168.2.159,8.8.8.0/24,443,UDP,1278
2026-08-09 08:10:22.151408+07:00,192.168.2.159,172.217.113.0/24,443,TCP,60
2026-08-09 08:10:22.359068+07:00,192.168.2.159,8.8.8.0/24,443,UDP,1278
2026-08-09 08:10:22.949088+07:00,192.168.2.159,142.250.4.0/24,443,UDP,1278
2026-08-09 08:10:24.349253+07:00,192.168.2.165,54.187.112.0/24,443,TCP,44
2026-08-09 08:10:25.399500+07:00,192.168.2.159,74.125.200.0/24,443,TCP,60
2026-08-09 08:10:35.149592+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:10:42.299517+07:00,192.168.2.159,74.125.200.0/24,443,UDP,285
2026-08-09 08:10:42.299517+07:00,192.168.2.159,142.251.157.0/24,443,UDP,1278
2026-08-09 08:11:09.449621+07:00,192.168.2.159,142.251.157.0/24,443,UDP,57
2026-08-09 08:11:12.479872+07:00,192.168.2.159,8.8.8.0/24,443,UDP,1278
2026-08-09 08:11:12.480670+07:00,192.168.2.159,142.250.4.0/24,443,TCP,60
2026-08-09 08:11:13.040058+07:00,192.168.2.159,34.104.35.0/24,80,TCP,60
2026-08-09 08:11:21.799329+07:00,192.168.2.159,172.217.114.0/24,443,UDP,1278
2026-08-09 08:11:35.269829+07:00,192.168.2.159,8.8.8.0/24,53,UDP,60
2026-08-09 08:11:36.459349+07:00,192.168.2.159,142.251.157.0/24,443,UDP,57
