received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-07-29 07:16:06.765184+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-29 07:16:18.685114+07:00,192.168.2.191,8.8.8.0/24,53,UDP,60
2026-07-29 07:16:25.835162+07:00,192.168.2.163,57.144.192.0/24,443,UDP,96
2026-07-29 07:16:29.405840+07:00,192.168.2.190,8.8.8.0/24,443,TCP,64
2026-07-29 07:16:31.946287+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-29 07:16:44.856134+07:00,192.168.2.163,8.8.8.0/24,53,UDP,60
2026-07-29 07:16:44.856134+07:00,192.168.2.163,8.8.8.0/24,53,UDP,58
2026-07-29 07:16:44.856134+07:00,192.168.2.163,202.65.114.0/24,123,UDP,76
2026-07-29 07:16:44.856134+07:00,192.168.2.163,8.8.8.0/24,53,UDP,58
2026-07-29 07:16:44.857129+07:00,192.168.2.163,52.220.243.0/24,443,TCP,60
2026-07-29 07:16:57.164577+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-29 07:17:01.974455+07:00,192.168.2.191,157.240.208.0/24,443,TCP,60
2026-07-29 07:17:01.975398+07:00,192.168.2.191,157.240.208.0/24,443,TCP,60
2026-07-29 07:17:01.975804+07:00,192.168.2.191,8.8.8.0/24,443,UDP,1228
2026-07-29 07:17:02.364278+07:00,192.168.2.191,57.144.193.0/24,443,UDP,1280
2026-07-29 07:17:02.365288+07:00,192.168.2.191,57.144.193.0/24,443,TCP,60
2026-07-29 07:17:04.134704+07:00,192.168.2.191,203.89.31.0/24,123,UDP,76
2026-07-29 07:17:16.885381+07:00,192.168.2.163,57.144.192.0/24,443,UDP,96
2026-07-29 07:17:18.134516+07:00,192.168.2.165,44.241.177.0/24,443,TCP,44
2026-07-29 07:17:19.413826+07:00,192.168.2.191,13.107.138.0/24,443,TCP,60
2026-07-29 07:17:19.413826+07:00,192.168.2.191,52.97.112.0/24,443,TCP,60
2026-07-29 07:17:19.786449+07:00,192.168.2.191,8.8.8.0/24,53,UDP,60
2026-07-29 07:17:22.354673+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-29 07:17:38.924901+07:00,192.168.2.163,8.8.8.0/24,53,UDP,116
2026-07-29 07:17:38.924901+07:00,192.168.2.163,8.8.8.0/24,53,UDP,116
2026-07-29 07:17:38.924901+07:00,192.168.2.163,157.240.234.0/24,443,TCP,60
2026-07-29 07:17:39.864963+07:00,192.168.2.163,8.8.8.0/24,53,UDP,116
2026-07-29 07:17:39.864963+07:00,192.168.2.163,8.8.8.0/24,53,UDP,116
2026-07-29 07:17:39.985231+07:00,192.168.2.163,57.144.100.0/24,443,UDP,1280
2026-07-29 07:17:39.985231+07:00,192.168.2.163,8.8.8.0/24,53,UDP,65
2026-07-29 07:17:47.543669+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-29 07:17:55.503911+07:00,192.168.2.191,20.184.175.0/24,443,TCP,60
2026-07-29 07:18:01.504579+07:00,192.168.2.190,8.8.8.0/24,443,TCP,64
2026-07-29 07:18:03.454727+07:00,192.168.2.163,91.108.56.0/24,443,TCP,60
2026-07-29 07:18:07.924978+07:00,192.168.2.163,57.144.192.0/24,443,UDP,96
2026-07-29 07:18:12.735807+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-29 07:18:19.294383+07:00,192.168.2.191,57.144.193.0/24,443,TCP,60
2026-07-29 07:18:19.614384+07:00,192.168.2.191,57.144.193.0/24,443,UDP,1280
2026-07-29 07:18:19.614384+07:00,192.168.2.191,57.144.193.0/24,443,TCP,60
2026-07-29 07:18:19.775031+07:00,192.168.2.191,57.144.193.0/24,443,TCP,60
2026-07-29 07:18:29.334702+07:00,192.168.2.191,172.217.114.0/24,443,TCP,60
2026-07-29 07:18:31.287935+07:00,192.168.2.163,57.144.100.0/24,443,UDP,96
2026-07-29 07:18:37.904382+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-29 07:18:43.424408+07:00,192.168.2.163,57.144.192.0/24,443,UDP,160
2026-07-29 07:19:03.094678+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-29 07:19:13.475150+07:00,192.168.2.163,8.8.8.0/24,53,UDP,61
2026-07-29 07:19:13.475150+07:00,192.168.2.163,8.8.8.0/24,53,UDP,61
2026-07-29 07:19:17.074260+07:00,192.168.2.163,8.8.8.0/24,53,UDP,64
2026-07-29 07:19:17.074260+07:00,192.168.2.163,8.8.8.0/24,53,UDP,64
2026-07-29 07:19:22.384118+07:00,192.168.2.163,57.144.100.0/24,443,UDP,96
2026-07-29 07:19:27.293611+07:00,192.168.2.163,8.8.8.0/24,53,UDP,61
2026-07-29 07:19:27.294229+07:00,192.168.2.163,8.8.8.0/24,53,UDP,64
2026-07-29 07:19:27.294229+07:00,192.168.2.163,8.8.8.0/24,53,UDP,73
2026-07-29 07:19:27.294229+07:00,192.168.2.163,8.8.8.0/24,53,UDP,70
2026-07-29 07:19:27.294777+07:00,192.168.2.163,8.8.8.0/24,53,UDP,65
2026-07-29 07:19:27.294777+07:00,192.168.2.163,8.8.8.0/24,53,UDP,74
2026-07-29 07:19:28.283514+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-29 07:19:34.673867+07:00,192.168.2.163,57.144.192.0/24,443,UDP,96
2026-07-29 07:19:36.064878+07:00,192.168.2.196,8.8.8.0/24,443,UDP,1228
2026-07-29 07:19:36.064878+07:00,192.168.2.196,51.81.57.0/24,2002,UDP,1052
2026-07-29 07:19:44.844061+07:00,192.168.2.163,8.8.8.0/24,53,UDP,60
2026-07-29 07:19:44.844061+07:00,192.168.2.163,8.8.8.0/24,53,UDP,58
2026-07-29 07:19:44.844061+07:00,192.168.2.163,202.29.58.0/24,123,UDP,76
2026-07-29 07:19:44.844668+07:00,192.168.2.163,18.138.52.0/24,443,TCP,60
2026-07-29 07:19:48.354702+07:00,192.168.2.163,8.8.8.0/24,53,UDP,70
2026-07-29 07:19:48.354702+07:00,192.168.2.163,8.8.8.0/24,53,UDP,70
2026-07-29 07:19:48.354702+07:00,192.168.2.163,13.215.11.0/24,443,TCP,60
2026-07-29 07:20:03.504463+07:00,192.168.2.163,8.8.8.0/24,53,UDP,72
2026-07-29 07:20:03.504463+07:00,192.168.2.163,57.144.192.0/24,443,UDP,1280
2026-07-29 07:20:03.505482+07:00,192.168.2.163,8.8.8.0/24,53,UDP,72
2026-07-29 07:20:03.505482+07:00,192.168.2.190,57.144.192.0/24,443,UDP,1260
2026-07-29 07:20:03.505482+07:00,192.168.2.190,57.144.192.0/24,443,TCP,64
2026-07-29 07:20:08.954382+07:00,192.168.2.190,31.13.95.0/24,443,UDP,1260
2026-07-29 07:20:13.433210+07:00,192.168.2.163,57.144.100.0/24,443,UDP,96
2026-07-29 07:20:13.794574+07:00,192.168.2.163,8.8.8.0/24,53,UDP,61
2026-07-29 07:20:13.794574+07:00,192.168.2.163,8.8.8.0/24,53,UDP,61
2026-07-29 07:20:15.714206+07:00,192.168.2.190,57.144.192.0/24,443,UDP,1260
2026-07-29 07:20:25.723971+07:00,192.168.2.163,57.144.192.0/24,443,UDP,96
2026-07-29 07:20:28.723299+07:00,192.168.2.163,57.144.192.0/24,443,UDP,96
2026-07-29 07:20:30.174197+07:00,192.168.2.190,57.144.192.0/24,443,UDP,64
2026-07-29 07:20:31.853888+07:00,192.168.2.190,74.125.130.0/24,443,UDP,1228
2026-07-29 07:20:53.913946+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-29 07:20:56.015489+07:00,192.168.2.191,8.8.8.0/24,443,UDP,1228
2026-07-29 07:20:56.153644+07:00,192.168.2.191,4.150.223.0/24,443,TCP,60
