tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-07-23,00:00,192.168.2.120,8,3,1,2,6,7488,936.0,0,8,0,0,0.0,1.0,0.0,0.0,0.375
2026-07-23,00:00,192.168.2.139,9,7,1,4,5,6532,725.78,0,9,0,0,0.0,1.0,0.0,0.0,0.7778
2026-07-23,00:00,192.168.2.145,5,3,1,1,4,5122,1024.4,0,5,0,0,0.0,1.0,0.0,0.0,0.6
2026-07-23,00:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-23,00:00,192.168.2.191,63,33,2,44,19,24308,385.84,1,62,0,0,0.0159,0.9841,0.0,0.0,0.5238
2026-07-23,00:00,192.168.2.195,3,3,1,1,2,2566,855.33,0,3,0,0,0.0,1.0,0.0,0.0,1.0
2026-07-23,01:00,192.168.2.120,4,1,1,0,4,4912,1228.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-07-23,01:00,192.168.2.145,3,2,1,0,3,3784,1261.33,0,3,0,0,0.0,1.0,0.0,0.0,0.6667
2026-07-23,01:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-23,01:00,192.168.2.191,109,31,6,55,54,51667,474.01,15,80,14,0,0.1376,0.7339,0.1284,0.0,0.2844
2026-07-23,01:00,192.168.2.195,24,16,1,12,12,15906,662.75,0,24,0,0,0.0,1.0,0.0,0.0,0.6667
2026-07-23,02:00,192.168.2.120,11,4,1,4,7,8936,812.36,0,11,0,0,0.0,1.0,0.0,0.0,0.3636
2026-07-23,02:00,192.168.2.145,4,3,1,0,4,5062,1265.5,0,4,0,0,0.0,1.0,0.0,0.0,0.75
2026-07-23,02:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-23,02:00,192.168.2.191,49,23,3,24,25,26528,541.39,0,38,11,0,0.0,0.7755,0.2245,0.0,0.4694
2026-07-23,03:00,192.168.2.120,78,32,3,46,32,41460,531.54,0,77,1,0,0.0,0.9872,0.0128,0.0,0.4103
2026-07-23,03:00,192.168.2.139,53,31,2,29,24,27707,522.77,0,52,1,0,0.0,0.9811,0.0189,0.0,0.5849
2026-07-23,03:00,192.168.2.145,97,37,2,56,41,49046,505.63,0,96,1,0,0.0,0.9897,0.0103,0.0,0.3814
2026-07-23,03:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-23,03:00,192.168.2.191,146,42,7,50,96,72597,497.24,20,66,60,0,0.137,0.4521,0.411,0.0,0.2877
2026-07-23,03:00,192.168.2.195,103,43,3,49,54,48588,471.73,7,95,1,0,0.068,0.9223,0.0097,0.0,0.4175
2026-07-23,04:00,192.168.2.120,6,3,1,2,4,5032,838.67,0,6,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-23,04:00,192.168.2.139,41,20,2,22,19,25404,619.61,0,40,1,0,0.0,0.9756,0.0244,0.0,0.4878
2026-07-23,04:00,192.168.2.145,7,5,1,2,5,6410,915.71,0,7,0,0,0.0,1.0,0.0,0.0,0.7143
2026-07-23,04:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-23,04:00,192.168.2.191,19,13,4,11,8,9486,499.26,0,15,2,2,0.0,0.7895,0.1053,0.1053,0.6842
2026-07-23,04:00,192.168.2.195,524,60,6,60,464,300689,573.83,48,469,7,0,0.0916,0.895,0.0134,0.0,0.1145
2026-07-23,05:00,192.168.2.120,4,1,1,0,4,4912,1228.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-07-23,05:00,192.168.2.139,38,21,2,22,16,21568,567.58,0,37,1,0,0.0,0.9737,0.0263,0.0,0.5526
2026-07-23,05:00,192.168.2.145,12,5,1,3,9,11482,956.83,0,12,0,0,0.0,1.0,0.0,0.0,0.4167
2026-07-23,05:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-07-23,05:00,192.168.2.191,28,12,1,13,15,17171,613.25,0,28,0,0,0.0,1.0,0.0,0.0,0.4286
2026-07-23,05:00,192.168.2.195,58,17,2,10,48,30819,531.36,8,50,0,0,0.1379,0.8621,0.0,0.0,0.2931
2026-07-23,06:00,172.30.252.114,4,2,3,0,4,568,142.0,0,0,1,3,0.0,0.0,0.25,0.75,0.5
2026-07-23,06:00,192.168.2.120,5,2,1,1,4,4972,994.4,0,5,0,0,0.0,1.0,0.0,0.0,0.4
2026-07-23,06:00,192.168.2.139,48,16,2,19,29,35673,743.19,0,45,3,0,0.0,0.9375,0.0625,0.0,0.3333
2026-07-23,06:00,192.168.2.140,79,36,9,53,26,16892,213.82,8,59,3,9,0.1013,0.7468,0.038,0.1139,0.4557
2026-07-23,06:00,192.168.2.145,4,3,1,0,4,5062,1265.5,0,4,0,0,0.0,1.0,0.0,0.0,0.75
2026-07-23,06:00,192.168.2.156,34,9,3,7,27,9496,279.29,21,13,0,0,0.6176,0.3824,0.0,0.0,0.2647
2026-07-23,06:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-07-23,06:00,192.168.2.168,7,4,4,3,4,2825,403.57,3,3,1,0,0.4286,0.4286,0.1429,0.0,0.5714
2026-07-23,06:00,192.168.2.171,23,6,3,12,11,6299,273.87,7,16,0,0,0.3043,0.6957,0.0,0.0,0.2609
2026-07-23,06:00,192.168.2.191,44,21,6,27,17,14019,318.61,5,32,7,0,0.1136,0.7273,0.1591,0.0,0.4773
2026-07-23,06:00,192.168.2.195,36,20,4,21,15,14062,390.61,1,31,4,0,0.0278,0.8611,0.1111,0.0,0.5556
2026-07-23,07:00,192.168.2.101,169,17,4,20,149,23790,140.77,55,113,1,0,0.3254,0.6686,0.0059,0.0,0.1006
2026-07-23,07:00,192.168.2.113,22,10,3,19,3,2931,133.23,2,19,0,1,0.0909,0.8636,0.0,0.0455,0.4545
2026-07-23,07:00,192.168.2.120,1,1,1,0,1,1228,1228.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0
