received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-07-27 08:31:58.364070+07:00,192.168.2.179,103.154.227.0/24,443,UDP,1278
2026-07-27 08:32:01.223498+07:00,192.168.2.186,57.144.145.0/24,443,TCP,64
2026-07-27 08:32:07.583473+07:00,192.168.2.164,71.18.74.0/24,443,UDP,1278
2026-07-27 08:32:07.584208+07:00,192.168.2.164,8.8.8.0/24,443,UDP,232
2026-07-27 08:32:09.873562+07:00,192.168.2.185,8.8.8.0/24,443,UDP,231
2026-07-27 08:32:09.873562+07:00,192.168.2.185,8.211.5.0/24,443,TCP,60
2026-07-27 08:32:11.873550+07:00,192.168.2.179,34.149.66.0/24,443,TCP,52
2026-07-27 08:32:15.403697+07:00,192.168.2.179,35.186.224.0/24,443,TCP,52
2026-07-27 08:32:16.403646+07:00,192.168.2.193,8.8.8.0/24,443,UDP,1228
2026-07-27 08:32:16.403646+07:00,192.168.2.193,172.217.116.0/24,443,UDP,1278
2026-07-27 08:32:16.913708+07:00,192.168.2.193,172.217.112.0/24,443,UDP,1278
2026-07-27 08:32:17.863803+07:00,192.168.2.179,146.112.41.0/24,443,TCP,52
2026-07-27 08:32:18.673842+07:00,192.168.2.152,8.8.4.0/24,443,UDP,1278
2026-07-27 08:32:22.593500+07:00,192.168.2.181,20.42.73.0/24,443,TCP,60
2026-07-27 08:32:24.205133+07:00,192.168.2.181,20.42.73.0/24,443,TCP,60
2026-07-27 08:32:24.623380+07:00,192.168.2.175,104.19.151.0/24,443,TCP,64
2026-07-27 08:32:28.393601+07:00,192.168.2.152,20.42.73.0/24,443,TCP,52
2026-07-27 08:32:28.913772+07:00,192.168.2.179,146.112.41.0/24,443,TCP,52
2026-07-27 08:32:32.544749+07:00,192.168.2.181,143.204.226.0/24,443,TCP,60
2026-07-27 08:32:32.863533+07:00,192.168.2.179,45.121.219.0/24,443,TCP,52
2026-07-27 08:32:33.494070+07:00,192.168.2.179,35.186.224.0/24,443,TCP,52
2026-07-27 08:32:33.733380+07:00,192.168.2.179,35.186.224.0/24,443,TCP,52
2026-07-27 08:32:39.493600+07:00,192.168.2.179,8.8.8.0/24,53,UDP,64
2026-07-27 08:32:39.493600+07:00,192.168.2.179,8.8.8.0/24,53,UDP,64
2026-07-27 08:32:39.493600+07:00,192.168.2.179,35.186.224.0/24,443,TCP,52
2026-07-27 08:32:40.246020+07:00,192.168.2.179,146.112.41.0/24,443,TCP,52
2026-07-27 08:32:40.383469+07:00,192.168.2.179,172.217.194.0/24,443,TCP,52
2026-07-27 08:32:40.383469+07:00,192.168.2.179,142.251.150.0/24,443,TCP,52
2026-07-27 08:32:40.384014+07:00,192.168.2.179,172.217.70.0/24,443,TCP,52
2026-07-27 08:32:41.133790+07:00,192.168.2.179,172.217.70.0/24,443,TCP,52
2026-07-27 08:32:45.403481+07:00,192.168.2.179,35.186.224.0/24,443,TCP,52
2026-07-27 08:32:47.003653+07:00,192.168.2.195,8.8.8.0/24,443,UDP,1228
2026-07-27 08:32:47.004385+07:00,192.168.2.195,34.120.88.0/24,443,TCP,60
2026-07-27 08:32:54.123580+07:00,192.168.2.181,8.8.8.0/24,53,UDP,60
2026-07-27 08:32:55.083964+07:00,192.168.2.152,8.8.8.0/24,53,UDP,69
2026-07-27 08:32:55.084658+07:00,192.168.2.152,2.17.106.0/24,80,TCP,52
2026-07-27 08:32:55.433796+07:00,192.168.2.152,8.8.8.0/24,53,TCP,52
2026-07-27 08:32:56.243294+07:00,192.168.2.179,23.45.207.0/24,443,TCP,52
2026-07-27 08:32:58.083984+07:00,192.168.2.179,146.112.41.0/24,443,TCP,52
2026-07-27 08:32:58.213867+07:00,192.168.2.179,18.155.68.0/24,443,TCP,52
2026-07-27 08:32:58.403843+07:00,192.168.2.179,3.170.229.0/24,443,TCP,52
2026-07-27 08:32:58.403843+07:00,192.168.2.179,3.170.229.0/24,443,TCP,52
2026-07-27 08:32:58.763275+07:00,192.168.2.179,44.195.16.0/24,443,TCP,52
2026-07-27 08:32:59.003621+07:00,192.168.2.179,44.195.16.0/24,443,TCP,52
2026-07-27 08:32:59.773298+07:00,192.168.2.179,18.97.36.0/24,443,TCP,52
2026-07-27 08:33:06.294820+07:00,192.168.2.185,142.251.12.0/24,443,TCP,60
2026-07-27 08:33:06.423823+07:00,192.168.2.185,142.251.12.0/24,443,TCP,60
2026-07-27 08:33:06.563658+07:00,192.168.2.185,142.251.12.0/24,443,TCP,60
2026-07-27 08:33:06.683743+07:00,192.168.2.185,142.251.12.0/24,443,TCP,60
2026-07-27 08:33:06.805235+07:00,192.168.2.185,142.251.12.0/24,443,TCP,60
2026-07-27 08:33:15.423916+07:00,192.168.2.179,35.186.224.0/24,443,TCP,52
2026-07-27 08:33:18.203389+07:00,192.168.2.185,142.251.12.0/24,443,TCP,60
2026-07-27 08:33:21.133371+07:00,192.168.2.152,8.8.8.0/24,53,UDP,78
2026-07-27 08:33:21.133898+07:00,192.168.2.152,20.184.175.0/24,443,TCP,52
