received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-08-10 08:09:08.210108+07:00,192.168.2.182,54.251.186.0/24,443,TCP,60
2026-08-10 08:09:09.320690+07:00,192.168.2.182,108.138.141.0/24,443,UDP,684
2026-08-10 08:09:09.640867+07:00,192.168.2.182,18.143.83.0/24,443,TCP,60
2026-08-10 08:09:10.701569+07:00,192.168.2.182,34.149.43.0/24,443,TCP,60
2026-08-10 08:09:11.700384+07:00,192.168.2.182,23.40.63.0/24,443,TCP,60
2026-08-10 08:09:12.781014+07:00,192.168.2.182,34.149.43.0/24,443,TCP,60
2026-08-10 08:09:14.122538+07:00,192.168.2.182,172.217.71.0/24,443,TCP,60
2026-08-10 08:09:14.750314+07:00,192.168.2.182,151.101.192.0/24,80,TCP,60
2026-08-10 08:09:15.789554+07:00,192.168.2.182,34.149.43.0/24,443,TCP,60
2026-08-10 08:09:16.800131+07:00,192.168.2.182,34.149.43.0/24,443,TCP,60
2026-08-10 08:09:17.750580+07:00,192.168.2.157,71.18.74.0/24,443,UDP,61
2026-08-10 08:09:19.070554+07:00,192.168.2.166,8.8.8.0/24,53,UDP,64
2026-08-10 08:09:19.860395+07:00,192.168.2.182,139.5.86.0/24,443,TCP,60
2026-08-10 08:09:21.240263+07:00,192.168.2.166,146.112.41.0/24,443,TCP,52
2026-08-10 08:09:22.730468+07:00,192.168.2.152,13.107.6.0/24,443,TCP,52
2026-08-10 08:09:23.890405+07:00,192.168.2.182,209.204.239.0/24,443,TCP,60
2026-08-10 08:09:24.889250+07:00,192.168.2.182,34.149.43.0/24,443,TCP,60
2026-08-10 08:09:25.751836+07:00,192.168.2.182,23.40.63.0/24,443,TCP,60
2026-08-10 08:09:27.479531+07:00,192.168.2.182,139.5.86.0/24,443,TCP,60
2026-08-10 08:09:27.779660+07:00,192.168.2.182,209.204.239.0/24,443,TCP,60
2026-08-10 08:09:29.280156+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-08-10 08:09:29.769949+07:00,192.168.2.182,139.5.86.0/24,443,TCP,60
2026-08-10 08:09:31.601639+07:00,192.168.2.182,209.204.239.0/24,443,TCP,60
2026-08-10 08:09:31.861911+07:00,192.168.2.182,209.204.239.0/24,443,TCP,60
2026-08-10 08:09:32.760536+07:00,192.168.2.157,71.18.74.0/24,443,UDP,61
2026-08-10 08:09:33.702441+07:00,192.168.2.182,139.5.86.0/24,443,TCP,60
2026-08-10 08:09:34.890307+07:00,192.168.2.182,23.207.192.0/24,80,TCP,60
2026-08-10 08:09:37.090205+07:00,192.168.2.182,172.217.71.0/24,443,TCP,60
2026-08-10 08:09:37.970639+07:00,192.168.2.133,8.8.8.0/24,53,UDP,60
