received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-07-28 07:29:59.451129+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-28 07:29:59.451129+07:00,192.168.2.163,8.8.8.0/24,53,UDP,72
2026-07-28 07:29:59.451129+07:00,192.168.2.163,57.144.192.0/24,443,UDP,1280
2026-07-28 07:30:01.081179+07:00,192.168.2.163,57.144.192.0/24,443,UDP,96
2026-07-28 07:30:02.021376+07:00,192.168.2.172,57.144.193.0/24,443,UDP,1280
2026-07-28 07:30:09.891109+07:00,192.168.2.166,8.8.8.0/24,53,UDP,56
2026-07-28 07:30:09.891109+07:00,192.168.2.166,8.8.8.0/24,53,UDP,56
2026-07-28 07:30:09.892735+07:00,192.168.2.166,8.8.8.0/24,53,UDP,56
2026-07-28 07:30:09.892735+07:00,192.168.2.166,8.8.8.0/24,53,UDP,61
2026-07-28 07:30:09.892735+07:00,192.168.2.166,8.8.8.0/24,53,UDP,61
2026-07-28 07:30:09.892735+07:00,192.168.2.166,8.8.8.0/24,53,UDP,61
2026-07-28 07:30:10.421230+07:00,192.168.2.166,8.8.8.0/24,53,UDP,69
2026-07-28 07:30:11.530857+07:00,192.168.2.166,8.8.8.0/24,53,UDP,56
2026-07-28 07:30:12.391134+07:00,192.168.2.166,172.253.118.0/24,443,TCP,52
2026-07-28 07:30:13.391638+07:00,192.168.2.166,8.8.8.0/24,53,UDP,67
2026-07-28 07:30:14.441033+07:00,192.168.2.166,52.123.129.0/24,443,TCP,52
2026-07-28 07:30:15.711218+07:00,192.168.2.166,52.123.129.0/24,443,TCP,52
2026-07-28 07:30:16.691009+07:00,192.168.2.166,8.8.8.0/24,53,UDP,64
2026-07-28 07:30:17.510844+07:00,192.168.2.166,48.218.107.0/24,443,TCP,52
2026-07-28 07:30:18.501268+07:00,192.168.2.166,103.111.145.0/24,443,TCP,52
2026-07-28 07:30:19.441015+07:00,192.168.2.166,35.79.48.0/24,443,TCP,52
2026-07-28 07:30:20.400511+07:00,192.168.2.166,8.8.8.0/24,53,UDP,77
2026-07-28 07:30:21.471053+07:00,192.168.2.166,52.168.112.0/24,443,TCP,52
2026-07-28 07:30:22.440935+07:00,192.168.2.166,103.111.145.0/24,443,TCP,52
2026-07-28 07:30:23.610868+07:00,192.168.2.166,4.247.188.0/24,443,TCP,52
2026-07-28 07:30:24.491224+07:00,192.168.2.166,8.8.8.0/24,53,UDP,75
2026-07-28 07:30:25.730927+07:00,192.168.2.166,20.190.163.0/24,443,TCP,52
2026-07-28 07:30:26.421309+07:00,192.168.2.166,52.110.20.0/24,443,TCP,52
2026-07-28 07:30:27.661427+07:00,192.168.2.166,100.23.221.0/24,443,TCP,52
2026-07-28 07:30:29.101261+07:00,192.168.2.166,20.184.175.0/24,443,TCP,52
2026-07-28 07:30:29.480759+07:00,192.168.2.166,107.22.192.0/24,443,TCP,52
2026-07-28 07:30:30.400635+07:00,192.168.2.166,35.186.224.0/24,443,TCP,52
2026-07-28 07:30:32.611001+07:00,192.168.2.166,23.41.37.0/24,443,TCP,52
2026-07-28 07:30:33.381037+07:00,192.168.2.166,4.247.188.0/24,443,TCP,52
2026-07-28 07:30:34.431009+07:00,192.168.2.166,172.66.146.0/24,443,TCP,52
2026-07-28 07:30:35.431338+07:00,192.168.2.166,150.171.27.0/24,443,TCP,52
2026-07-28 07:30:36.381402+07:00,192.168.2.152,161.69.232.0/24,443,TCP,52
2026-07-28 07:30:38.380844+07:00,192.168.2.166,4.247.188.0/24,443,TCP,52
2026-07-28 07:30:39.391021+07:00,192.168.2.152,13.35.202.0/24,443,TCP,52
2026-07-28 07:30:40.671348+07:00,192.168.2.166,4.247.188.0/24,443,TCP,52
2026-07-28 07:30:41.961035+07:00,192.168.2.152,52.253.84.0/24,443,TCP,52
