tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity
2026-08-17,00:00,192.168.2.115,15,7,1,5,10,11996,799.7333333333333,0,15,0,0,0.0,1.0,0.0,0.0,0.4667
2026-08-17,00:00,192.168.2.159,94,25,6,47,47,46680,496.59574468085106,7,77,10,0,0.0745,0.8191,0.1064,0.0,0.266
2026-08-17,00:00,192.168.2.165,4,1,1,4,0,176,44.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-08-17,00:00,192.168.2.195,59,19,2,24,35,26045,441.4406779661017,8,51,0,0,0.1356,0.8644,0.0,0.0,0.322
2026-08-17,01:00,192.168.2.115,62,25,1,34,28,36329,585.9516129032259,0,62,0,0,0.0,1.0,0.0,0.0,0.4032
2026-08-17,01:00,192.168.2.159,56,26,5,34,22,24071,429.8392857142857,2,51,3,0,0.0357,0.9107,0.0536,0.0,0.4643
2026-08-17,01:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-17,01:00,192.168.2.195,160,26,3,16,144,87594,547.4625,39,120,1,0,0.2438,0.75,0.0062,0.0,0.1625
2026-08-17,02:00,192.168.2.115,13,9,3,3,10,10512,808.6153846153846,0,11,2,0,0.0,0.8462,0.1538,0.0,0.6923
2026-08-17,02:00,192.168.2.159,34,19,4,17,17,19062,560.6470588235294,2,31,1,0,0.0588,0.9118,0.0294,0.0,0.5588
2026-08-17,02:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,02:00,192.168.2.195,157,42,2,48,109,96581,615.1656050955414,2,155,0,0,0.0127,0.9873,0.0,0.0,0.2675
2026-08-17,03:00,192.168.2.115,8,4,1,1,7,8906,1113.25,0,8,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,03:00,192.168.2.159,88,30,2,51,37,41955,476.7613636363636,3,85,0,0,0.0341,0.9659,0.0,0.0,0.3409
2026-08-17,03:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-17,03:00,192.168.2.195,183,26,1,16,167,140329,766.8251366120219,0,183,0,0,0.0,1.0,0.0,0.0,0.1421
2026-08-17,04:00,192.168.2.115,52,28,3,29,23,27288,524.7692307692307,1,50,1,0,0.0192,0.9615,0.0192,0.0,0.5385
2026-08-17,04:00,192.168.2.159,28,13,1,15,13,15020,536.4285714285714,0,28,0,0,0.0,1.0,0.0,0.0,0.4643
2026-08-17,04:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,04:00,192.168.2.195,64,20,2,11,53,33358,521.21875,17,47,0,0,0.2656,0.7344,0.0,0.0,0.3125
2026-08-17,05:00,192.168.2.115,23,12,1,9,14,18132,788.3478260869565,0,23,0,0,0.0,1.0,0.0,0.0,0.5217
2026-08-17,05:00,192.168.2.159,21,10,1,10,11,13311,633.8571428571429,0,21,0,0,0.0,1.0,0.0,0.0,0.4762
2026-08-17,05:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,05:00,192.168.2.195,220,26,2,7,213,130645,593.8409090909091,60,160,0,0,0.2727,0.7273,0.0,0.0,0.1182
2026-08-17,06:00,192.168.2.115,19,10,1,5,14,15636,822.9473684210526,0,19,0,0,0.0,1.0,0.0,0.0,0.5263
2026-08-17,06:00,192.168.2.159,60,26,4,36,24,25928,432.1333333333333,1,57,2,0,0.0167,0.95,0.0333,0.0,0.4333
2026-08-17,06:00,192.168.2.165,4,1,1,4,0,176,44.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-08-17,06:00,192.168.2.195,206,34,2,22,184,120134,583.1747572815534,48,158,0,0,0.233,0.767,0.0,0.0,0.165
2026-08-17,07:00,192.168.2.115,18,10,1,5,13,15536,863.1111111111111,0,18,0,0,0.0,1.0,0.0,0.0,0.5556
2026-08-17,07:00,192.168.2.159,390,89,3,107,283,177055,453.9871794871795,51,336,3,0,0.1308,0.8615,0.0077,0.0,0.2282
2026-08-17,07:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,07:00,192.168.2.195,63,18,2,7,56,35817,568.5238095238095,18,45,0,0,0.2857,0.7143,0.0,0.0,0.2857
2026-08-17,08:00,192.168.2.115,64,26,1,39,25,30256,472.75,0,64,0,0,0.0,1.0,0.0,0.0,0.4062
2026-08-17,08:00,192.168.2.159,220,78,10,120,100,82715,375.97727272727275,30,165,20,5,0.1364,0.75,0.0909,0.0227,0.3545
2026-08-17,08:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,08:00,192.168.2.195,90,28,2,31,59,63293,703.2555555555556,7,83,0,0,0.0778,0.9222,0.0,0.0,0.3111
2026-08-17,09:00,192.168.2.115,21,14,1,11,10,12162,579.1428571428571,0,21,0,0,0.0,1.0,0.0,0.0,0.6667
2026-08-17,09:00,192.168.2.159,178,48,9,94,84,58559,328.9831460674157,42,96,35,5,0.236,0.5393,0.1966,0.0281,0.2697
2026-08-17,09:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,09:00,192.168.2.195,37,16,2,15,22,26450,714.8648648648649,1,36,0,0,0.027,0.973,0.0,0.0,0.4324
2026-08-17,10:00,192.168.2.115,65,26,4,33,32,40386,621.3230769230769,0,62,3,0,0.0,0.9538,0.0462,0.0,0.4
2026-08-17,10:00,192.168.2.159,294,54,7,130,164,102285,347.90816326530614,102,147,39,6,0.3469,0.5,0.1327,0.0204,0.1837
2026-08-17,10:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,10:00,192.168.2.195,66,24,2,26,40,27646,418.8787878787879,13,53,0,0,0.197,0.803,0.0,0.0,0.3636
2026-08-17,11:00,192.168.2.115,38,23,2,17,21,21700,571.0526315789474,0,37,1,0,0.0,0.9737,0.0263,0.0,0.6053
2026-08-17,11:00,192.168.2.159,193,37,7,82,111,74281,384.8756476683938,50,90,47,6,0.2591,0.4663,0.2435,0.0311,0.1917
2026-08-17,11:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-17,11:00,192.168.2.195,45,17,4,32,13,13341,296.46666666666664,1,41,3,0,0.0222,0.9111,0.0667,0.0,0.3778
2026-08-17,12:00,192.168.2.115,30,13,4,8,22,18826,627.5333333333333,0,22,8,0,0.0,0.7333,0.2667,0.0,0.4333
2026-08-17,12:00,192.168.2.159,84,21,7,31,53,46490,553.452380952381,16,50,18,0,0.1905,0.5952,0.2143,0.0,0.25
2026-08-17,12:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333
2026-08-17,12:00,192.168.2.195,16,9,2,10,6,6971,435.6875,0,14,2,0,0.0,0.875,0.125,0.0,0.5625
2026-08-17,13:00,192.168.2.115,12,8,1,3,9,11532,961.0,0,12,0,0,0.0,1.0,0.0,0.0,0.6667
2026-08-17,13:00,192.168.2.159,29,13,7,10,19,15086,520.2068965517242,5,14,10,0,0.1724,0.4828,0.3448,0.0,0.4483
2026-08-17,13:00,192.168.2.165,4,1,1,4,0,176,44.0,0,4,0,0,0.0,1.0,0.0,0.0,0.25
2026-08-17,13:00,192.168.2.195,122,32,3,46,76,43605,357.41803278688525,26,95,1,0,0.2131,0.7787,0.0082,0.0,0.2623
2026-08-17,14:00,192.168.2.115,29,19,1,14,15,15198,524.0689655172414,0,29,0,0,0.0,1.0,0.0,0.0,0.6552
2026-08-17,14:00,192.168.2.159,30,14,1,15,15,17585,586.1666666666666,0,30,0,0,0.0,1.0,0.0,0.0,0.4667
2026-08-17,14:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,14:00,192.168.2.195,133,21,3,14,119,65675,493.796992481203,29,104,0,0,0.218,0.782,0.0,0.0,0.1579
2026-08-17,15:00,192.168.2.115,4,2,1,0,4,5062,1265.5,0,4,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,15:00,192.168.2.159,373,64,9,185,188,127696,342.3485254691689,114,212,43,4,0.3056,0.5684,0.1153,0.0107,0.1716
2026-08-17,15:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5
2026-08-17,15:00,192.168.2.195,10,6,2,2,8,8992,899.2,0,9,1,0,0.0,0.9,0.1,0.0,0.6
2026-08-17,16:00,192.168.2.115,38,15,2,14,24,27853,732.9736842105264,0,37,1,0,0.0,0.9737,0.0263,0.0,0.3947
2026-08-17,16:00,192.168.2.159,209,55,10,100,109,75243,360.0143540669856,51,116,37,5,0.244,0.555,0.177,0.0239,0.2632
