received_at,srcip,dstip_subnet,dstport,proto,datasize
2026-07-20 15:31:05.491737+07:00,192.168.2.139,57.144.193.0/24,443,UDP,1280
2026-07-20 15:31:06.092766+07:00,192.168.2.139,172.217.112.0/24,443,UDP,1278
2026-07-20 15:31:09.764071+07:00,192.168.2.139,172.217.119.0/24,443,TCP,60
2026-07-20 15:31:10.363908+07:00,192.168.2.139,172.217.116.0/24,443,UDP,1278
2026-07-20 15:31:14.831374+07:00,192.168.2.139,157.240.208.0/24,443,UDP,1280
2026-07-20 15:31:15.021015+07:00,192.168.2.139,57.144.101.0/24,443,UDP,1280
2026-07-20 15:31:16.360970+07:00,192.168.2.139,57.144.193.0/24,443,UDP,1280
2026-07-20 15:31:16.782013+07:00,192.168.2.139,31.13.95.0/24,443,UDP,1280
2026-07-20 15:31:23.061190+07:00,192.168.2.150,8.8.8.0/24,443,TCP,589
2026-07-20 15:31:23.690577+07:00,192.168.2.150,8.8.8.0/24,53,UDP,60
2026-07-20 15:31:23.691585+07:00,192.168.2.150,57.144.193.0/24,5222,TCP,64
2026-07-20 15:31:23.691585+07:00,192.168.2.150,17.253.118.0/24,443,TCP,64
2026-07-20 15:31:27.042233+07:00,192.168.2.158,157.240.208.0/24,443,TCP,60
2026-07-20 15:31:27.042233+07:00,192.168.2.158,8.8.8.0/24,443,UDP,1228
2026-07-20 15:31:27.611527+07:00,192.168.2.158,57.144.193.0/24,443,UDP,1280
2026-07-20 15:31:27.843238+07:00,192.168.2.158,57.144.193.0/24,443,TCP,60
2026-07-20 15:31:32.971503+07:00,192.168.2.163,8.8.8.0/24,53,UDP,76
2026-07-20 15:31:32.972029+07:00,192.168.2.163,8.8.8.0/24,53,UDP,76
2026-07-20 15:31:32.972029+07:00,192.168.2.163,8.209.90.0/24,443,TCP,60
2026-07-20 15:31:36.331564+07:00,192.168.2.163,57.144.192.0/24,443,UDP,64
2026-07-20 15:31:36.332573+07:00,192.168.2.163,8.8.8.0/24,53,UDP,72
2026-07-20 15:31:36.332573+07:00,192.168.2.163,57.144.192.0/24,443,UDP,1280
2026-07-20 15:31:36.333172+07:00,192.168.2.163,8.8.8.0/24,53,UDP,72
2026-07-20 15:32:08.421309+07:00,192.168.2.158,57.144.193.0/24,5222,TCP,60
2026-07-20 15:32:08.421309+07:00,192.168.2.158,8.8.8.0/24,443,UDP,230
2026-07-20 15:32:18.342390+07:00,192.168.2.150,57.144.193.0/24,5222,TCP,64
2026-07-20 15:32:23.361900+07:00,192.168.2.150,57.144.193.0/24,5222,TCP,64
2026-07-20 15:34:04.680993+07:00,192.168.2.139,57.144.193.0/24,5222,TCP,60
2026-07-20 15:34:04.682086+07:00,192.168.2.139,8.8.8.0/24,443,UDP,1228
2026-07-20 15:34:05.300340+07:00,192.168.2.139,57.144.193.0/24,443,TCP,60
2026-07-20 15:34:06.401717+07:00,192.168.2.139,57.144.101.0/24,443,UDP,1280
2026-07-20 15:34:10.451295+07:00,192.168.2.150,8.8.8.0/24,53,UDP,56
2026-07-20 15:34:10.451295+07:00,192.168.2.150,8.8.8.0/24,443,TCP,589
2026-07-20 15:34:10.940822+07:00,192.168.2.150,8.8.8.0/24,53,UDP,60
2026-07-20 15:34:10.940822+07:00,192.168.2.150,57.144.193.0/24,5222,TCP,64
2026-07-20 15:34:12.881108+07:00,192.168.2.150,17.137.162.0/24,443,TCP,64
2026-07-20 15:34:50.662503+07:00,192.168.2.150,57.144.193.0/24,5222,TCP,64
2026-07-20 15:34:57.042684+07:00,192.168.2.150,57.144.193.0/24,5222,TCP,64
2026-07-20 15:35:41.661703+07:00,192.168.2.150,8.8.8.0/24,53,UDP,56
2026-07-20 15:35:41.661703+07:00,192.168.2.150,8.8.8.0/24,443,TCP,589
2026-07-20 15:35:41.811362+07:00,192.168.2.150,57.144.193.0/24,5222,TCP,64
2026-07-20 15:35:42.331228+07:00,192.168.2.150,57.144.192.0/24,443,TCP,64
2026-07-20 15:35:42.331228+07:00,192.168.2.150,157.240.15.0/24,443,TCP,64
2026-07-20 15:35:43.251829+07:00,192.168.2.150,57.144.193.0/24,5222,TCP,64
2026-07-20 15:35:49.961689+07:00,192.168.2.139,57.144.101.0/24,5222,TCP,60
2026-07-20 15:35:49.961689+07:00,192.168.2.139,8.8.8.0/24,443,UDP,1228
2026-07-20 15:35:49.962682+07:00,192.168.2.150,57.144.192.0/24,443,TCP,64
2026-07-20 15:35:50.650906+07:00,192.168.2.150,57.144.192.0/24,443,TCP,64
2026-07-20 15:35:50.651410+07:00,192.168.2.150,57.144.192.0/24,443,TCP,64
2026-07-20 15:35:50.651410+07:00,192.168.2.150,57.144.192.0/24,443,TCP,64
2026-07-20 15:35:50.651410+07:00,192.168.2.150,57.144.192.0/24,443,TCP,64
2026-07-20 15:35:51.280908+07:00,192.168.2.139,172.217.114.0/24,443,UDP,1278
2026-07-20 15:35:52.462174+07:00,192.168.2.150,57.144.192.0/24,443,TCP,64
2026-07-20 15:35:53.031129+07:00,192.168.2.139,172.217.116.0/24,443,UDP,1278
2026-07-20 15:35:54.091878+07:00,192.168.2.139,172.217.114.0/24,443,TCP,60
2026-07-20 15:35:55.140925+07:00,192.168.2.139,8.8.8.0/24,53,UDP,69
2026-07-20 15:35:56.021378+07:00,192.168.2.139,31.13.95.0/24,443,TCP,60
2026-07-20 15:35:57.121040+07:00,192.168.2.139,65.8.76.0/24,443,TCP,60
2026-07-20 15:35:58.052521+07:00,192.168.2.139,172.217.115.0/24,443,TCP,60
2026-07-20 15:35:59.042668+07:00,192.168.2.139,172.217.114.0/24,443,TCP,60
2026-07-20 15:36:00.021336+07:00,192.168.2.139,172.217.116.0/24,443,TCP,60
2026-07-20 15:36:01.031603+07:00,192.168.2.139,172.217.114.0/24,443,TCP,60
2026-07-20 15:36:02.302478+07:00,192.168.2.139,172.217.114.0/24,443,TCP,60
2026-07-20 15:36:03.031020+07:00,192.168.2.139,172.217.114.0/24,443,TCP,60
2026-07-20 15:36:04.041037+07:00,192.168.2.139,172.217.116.0/24,443,UDP,1278
2026-07-20 15:36:05.109756+07:00,192.168.2.139,172.217.115.0/24,443,TCP,60
2026-07-20 15:36:06.340629+07:00,192.168.2.139,172.217.114.0/24,443,TCP,60
2026-07-20 15:36:07.232297+07:00,192.168.2.139,40.79.167.0/24,443,TCP,60
2026-07-20 15:36:08.132055+07:00,192.168.2.139,52.123.128.0/24,443,TCP,60
2026-07-20 15:36:09.090733+07:00,192.168.2.139,172.217.70.0/24,443,UDP,1278
2026-07-20 15:36:10.280597+07:00,192.168.2.139,176.34.220.0/24,443,TCP,60
2026-07-20 15:36:11.151972+07:00,192.168.2.139,172.217.112.0/24,443,UDP,1278
