tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity,anomaly_score,is_anomaly
2026-07-19,23:00,192.168.2.195,89,36,6,36,53,40414,454.09,15,67,7,0,0.1685,0.7528,0.0787,0.0,0.4045,0.381981817282106,0
2026-07-20,00:00,192.168.2.139,6,4,1,1,5,6400,1066.67,0,6,0,0,0.0,1.0,0.0,0.0,0.6667,0.41232453000622377,0
2026-07-20,00:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5,0.36677286372248463,0
2026-07-20,00:00,192.168.2.191,25,14,2,13,12,14814,592.56,0,24,1,0,0.0,0.96,0.04,0.0,0.56,0.3742534104358694,0
2026-07-20,00:00,192.168.2.195,14,7,1,13,1,2008,143.43,0,14,0,0,0.0,1.0,0.0,0.0,0.5,0.3751833902750638,0
2026-07-20,01:00,192.168.2.139,4,3,1,0,4,5062,1265.5,0,4,0,0,0.0,1.0,0.0,0.0,0.75,0.4493381278096291,0
2026-07-20,01:00,192.168.2.165,2,1,1,2,0,88,44.0,0,2,0,0,0.0,1.0,0.0,0.0,0.5,0.36677286372248463,0
2026-07-20,01:00,192.168.2.191,44,22,3,28,16,13434,305.32,5,37,2,0,0.1136,0.8409,0.0455,0.0,0.5,0.38327239206655045,0
2026-07-20,01:00,192.168.2.195,17,11,1,9,8,10664,627.29,0,17,0,0,0.0,1.0,0.0,0.0,0.6471,0.3789869326450511,0
2026-07-20,02:00,192.168.2.139,1,1,1,0,1,1278,1278.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.4663926446720365,0
2026-07-20,02:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333,0.36432273272230004,0
2026-07-20,02:00,192.168.2.191,1483,137,70,139,1344,205315,138.45,51,261,991,180,0.0344,0.176,0.6682,0.1214,0.0924,0.7439522031707784,1
2026-07-20,02:00,192.168.2.195,3,2,1,1,2,2566,855.33,0,3,0,0,0.0,1.0,0.0,0.0,0.6667,0.38794378642112115,0
2026-07-20,03:00,192.168.2.139,30,14,2,7,23,27314,910.47,0,29,1,0,0.0,0.9667,0.0333,0.0,0.4667,0.4072971316140094,0
2026-07-20,03:00,192.168.2.191,1644,141,141,34,1610,196708,119.65,40,124,1196,284,0.0243,0.0754,0.7275,0.1727,0.0858,0.7560120809807049,1
2026-07-20,03:00,192.168.2.195,1,1,1,0,1,1278,1278.0,0,1,0,0,0.0,1.0,0.0,0.0,1.0,0.4663926446720365,0
