tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity,total_data,average_datasize,jumlah_koneksi_deviation,jumlah_tujuan_unik_deviation,jumlah_port_unik_deviation,total_data_deviation,baseline_confidence,anomaly_score,anomaly_label
2026-07-19,14:00,192.168.2.195,195,41,3,0.1385,0.8615,0.0,0.0,0.2103,109336,560.7,3.6422501011736146,1.4051890822429065,0.6744907594765952,5.895056621413395,established,-0.257023,Normal
2026-07-19,15:00,192.168.2.139,14,8,1,0.0,1.0,0.0,0.0,0.5714,13106,936.14,-0.6877160684859401,-0.9857941869273316,-1.011736139214893,-0.4953493452873143,established,-0.324029,Normal
2026-07-19,15:00,192.168.2.165,2,1,1,0.0,1.0,0.0,0.0,0.5,88,44.0,0.0,0.0,0.0,0.0,established,-0.34333,Normal
2026-07-19,15:00,192.168.2.191,55,30,6,0.0727,0.8182,0.1091,0.0,0.5455,24167,439.4,-0.5773640901119655,-0.2334775705880522,0.3372453797382976,-0.5205357371501321,established,-0.312639,Normal
2026-07-19,15:00,192.168.2.195,151,40,1,0.0,1.0,0.0,0.0,0.2649,90902,602.0,2.652996987274608,1.3489815189531904,-0.6744907594765952,4.760814452083751,established,-0.278932,Normal
2026-07-19,16:00,192.168.2.139,54,24,3,0.0,0.963,0.037,0.0,0.4444,27785,514.54,-0.15870370811214005,-0.15565171372536812,-0.3372453797382976,0.031627973126404106,established,-0.341289,Normal
2026-07-19,16:00,192.168.2.165,3,1,1,0.0,1.0,0.0,0.0,0.3333,132,44.0,0.6744907594765952,0.0,0.0,0.6744907594765952,established,-0.34443,Normal
2026-07-19,16:00,192.168.2.191,111,45,2,0.027,0.973,0.0,0.0,0.4054,30746,276.99,0.02697963037906381,0.5447809980387884,-1.011736139214893,-0.3191298727862824,established,-0.327962,Normal
2026-07-19,16:00,192.168.2.195,89,36,6,0.1685,0.7528,0.0787,0.0,0.4045,40414,454.09,1.2590494176896445,1.1241512657943253,2.697963037906381,1.6542928807961812,established,-0.28286,Normal
2026-07-19,17:00,192.168.2.139,6,4,1,0.0,1.0,0.0,0.0,0.6667,6400,1066.67,-0.7935185405607001,-1.1933298052278223,-1.011736139214893,-0.7360953019112257,established,-0.313783,Normal
2026-07-19,17:00,192.168.2.165,2,1,1,0.0,1.0,0.0,0.0,0.5,88,44.0,0.0,0.0,0.0,0.0,established,-0.34333,Normal
2026-07-19,17:00,192.168.2.191,25,14,2,0.0,0.96,0.04,0.0,0.56,14814,592.56,-0.9011196546607312,-1.0636200437900156,-1.011736139214893,-0.8068633020376663,established,-0.314513,Normal
2026-07-19,17:00,192.168.2.195,14,7,1,0.0,1.0,0.0,0.0,0.5,2008,143.43,-0.42717748100184366,-0.5058680696074463,-0.6744907594765952,-0.7088244434565204,established,-0.339453,Normal
2026-07-19,18:00,192.168.2.139,4,3,1,0.0,1.0,0.0,0.0,0.75,5062,1265.5,-0.8199691585793902,-1.245213709802945,-1.011736139214893,-0.7841296129703956,established,-0.30094,Normal
2026-07-19,18:00,192.168.2.165,2,1,1,0.0,1.0,0.0,0.0,0.5,88,44.0,0.0,0.0,0.0,0.0,established,-0.34333,Normal
2026-07-19,18:00,192.168.2.191,44,22,3,0.1136,0.8409,0.0455,0.0,0.5,13434,305.32,-0.6960744637798463,-0.6485488071890338,-0.6744907594765952,-0.8491098581741783,established,-0.316214,Normal
2026-07-19,18:00,192.168.2.195,17,11,1,0.0,1.0,0.0,0.0,0.6471,10664,627.29,-0.35972840505418413,-0.28103781644858133,-0.6744907594765952,-0.17622163247044048,established,-0.327581,Normal
2026-07-19,19:00,192.168.2.139,1,1,1,0.0,1.0,0.0,0.0,1.0,1278,1278.0,-0.8596450856074253,-1.3489815189531904,-1.011736139214893,-0.9199755270570167,established,-0.250877,Normal
2026-07-19,19:00,192.168.2.165,3,1,1,0.0,1.0,0.0,0.0,0.3333,132,44.0,0.6744907594765952,0.0,0.0,0.6744907594765952,established,-0.34443,Normal
2026-07-19,19:00,192.168.2.191,1483,137,70,0.0344,0.176,0.6682,0.1214,0.0924,205315,138.45,14.833400782409282,5.318100218950078,21.920949682989345,5.025028865036014,established,0.015262,Anomaly
2026-07-19,19:00,192.168.2.195,3,2,1,0.0,1.0,0.0,0.0,0.6667,2566,855.33,-0.6744907594765952,-0.7869058860560277,-0.6744907594765952,-0.6744907594765952,established,-0.326521,Normal
2026-07-19,20:00,192.168.2.139,30,14,2,0.0,0.9667,0.0333,0.0,0.4667,27314,910.47,-0.4761111243364201,-0.6744907594765952,-0.6744907594765952,0.014719034031584205,established,-0.33563,Normal
2026-07-19,20:00,192.168.2.165,3,1,1,0.0,1.0,0.0,0.0,0.3333,132,44.0,0.6744907594765952,0.0,0.0,0.6744907594765952,established,-0.34443,Normal
2026-07-19,20:00,192.168.2.191,1644,141,141,0.0243,0.0754,0.7275,0.1727,0.0858,196708,119.65,16.570888978820992,5.525635837250569,45.86537164440848,4.761538931219377,established,0.025522,Anomaly
2026-07-19,20:00,192.168.2.195,1,1,1,0.0,1.0,0.0,0.0,1.0,1278,1278.0,-0.7194568101083683,-0.843113449345744,-0.6744907594765952,-0.7537412701686089,established,-0.272298,Normal
2026-07-19,21:00,192.168.2.139,13,10,1,0.0,1.0,0.0,0.0,0.7692,10424,801.85,-0.7009413774952852,-0.8820263777770861,-1.011736139214893,-0.5916333679036773,established,-0.304522,Normal
2026-07-19,21:00,192.168.2.165,2,1,1,0.0,1.0,0.0,0.0,0.5,88,44.0,0.0,0.0,0.0,0.0,established,-0.34333,Normal
2026-07-19,21:00,192.168.2.191,1226,95,100,0.0359,0.0734,0.739,0.1517,0.0775,148118,120.81,12.059894779441523,3.138976226794924,32.038311075138274,3.2740315669634934,established,0.007598,Anomaly
2026-07-19,21:00,192.168.2.195,3,2,1,0.0,1.0,0.0,0.0,0.6667,2566,855.33,-0.6744907594765952,-0.7869058860560277,-0.6744907594765952,-0.6744907594765952,established,-0.326521,Normal
2026-07-19,22:00,192.168.2.139,35,18,2,0.0,0.8857,0.1143,0.0,0.5143,21529,615.11,-0.4099845792896951,-0.4669551411761044,-0.6744907594765952,-0.19296294614576853,established,-0.317594,Normal
2026-07-19,22:00,192.168.2.165,1,1,1,0.0,1.0,0.0,0.0,1.0,44,44.0,-0.6744907594765952,0.0,0.0,-0.6744907594765952,established,-0.270545,Normal
2026-07-19,22:00,192.168.2.191,520,67,40,0.0288,0.1596,0.7019,0.1096,0.1288,70238,135.07,4.440847160393903,1.6862268986914881,11.803588290840416,0.8898563554333794,established,-0.053668,Normal
2026-07-19,22:00,192.168.2.195,20,14,3,0.05,0.85,0.1,0.0,0.7,3620,181.0,-0.2922793291065246,-0.11241512657943253,0.6744907594765952,-0.609638245292292,established,-0.294178,Normal
2026-07-19,23:00,192.168.2.139,25,15,1,0.0,1.0,0.0,0.0,0.6,12362,494.48,-0.5422376693831451,-0.6226068549014725,-1.011736139214893,-0.522059007042189,established,-0.326844,Normal
2026-07-19,23:00,192.168.2.165,2,1,1,0.0,1.0,0.0,0.0,0.5,88,44.0,0.0,0.0,0.0,0.0,established,-0.34333,Normal
2026-07-19,23:00,192.168.2.184,20,9,4,0.2,0.8,0.0,0.0,0.45,5996,299.8,-1.1220500484750837,-1.7986420252709205,-0.6744907594765952,-1.2549848470192073,established,-0.290437,Normal
2026-07-19,23:00,192.168.2.191,61,27,2,0.1311,0.8689,0.0,0.0,0.4426,23966,392.89,-0.5126129772022123,-0.3891292843134203,-1.011736139214893,-0.5266890398917545,established,-0.322419,Normal
2026-07-19,23:00,192.168.2.195,3,2,1,0.0,1.0,0.0,0.0,0.6667,2566,855.33,-0.6744907594765952,-0.7869058860560277,-0.6744907594765952,-0.6744907594765952,established,-0.326521,Normal
2026-07-20,00:00,192.168.2.101,248,28,4,0.5766,0.4153,0.0081,0.0,0.1129,46187,186.24,0.2464485467318329,0.26979630379063807,0.0,0.3637987928239271,established,-0.238638,Normal
2026-07-20,00:00,192.168.2.107,548,100,5,0.0164,0.9745,0.0091,0.0,0.1825,133035,242.76,-0.17568702842468692,0.18134715025906736,0.3372453797382976,-0.30356009534812517,established,-0.32576,Normal
2026-07-20,00:00,192.168.2.112,74,38,6,0.0541,0.9054,0.027,0.0135,0.5135,32417,438.07,-0.36936398733242115,0.6070416835289357,1.011736139214893,-0.10852950241876086,new_host,-0.306093,Normal
2026-07-20,00:00,192.168.2.113,49,17,6,0.1837,0.5714,0.1837,0.0612,0.3469,6214,126.82,-0.4898087658103846,0.8093889113719143,1.3489815189531904,-0.21765841244221312,established,-0.261795,Normal
2026-07-20,00:00,192.168.2.139,25,16,4,0.12,0.8,0.08,0.0,0.64,9972,398.88,-0.5422376693831451,-0.5707229503263498,0.0,-0.6078602054214238,established,-0.30461,Normal
2026-07-20,00:00,192.168.2.144,129,47,8,0.2481,0.6822,0.0698,0.0,0.3643,55228,428.12,0.43092465188782475,0.8519883277599097,2.3607176581680833,0.6527044709842464,established,-0.288843,Normal
2026-07-20,00:00,192.168.2.156,266,71,6,0.1579,0.4173,0.4248,0.0,0.2669,18827,70.78,9.529901698411248,3.672227468261463,0.6744907594765952,0.06008155540081781,established,-0.167405,Normal
2026-07-20,00:00,192.168.2.158,66,26,6,0.1364,0.7576,0.1061,0.0,0.3939,33951,514.41,-0.17087099240073744,0.01686226898691488,0.6744907594765952,-0.1665136857572938,established,-0.322555,Normal
2026-07-20,00:00,192.168.2.165,2,1,1,0.0,1.0,0.0,0.0,0.5,88,44.0,0.0,0.0,0.0,0.0,established,-0.34333,Normal
2026-07-20,00:00,192.168.2.184,318,74,11,0.0629,0.7956,0.1069,0.0346,0.2327,98532,309.85,0.7564382349270227,0.028103781644858133,1.6862268986914881,0.6744907594765952,established,-0.29826,Normal
2026-07-20,00:00,192.168.2.191,140,59,7,0.1929,0.6714,0.1214,0.0143,0.4214,50116,357.97,0.33994334277620397,1.2711556620905065,0.6744907594765952,0.27385258544867275,established,-0.297862,Normal
2026-07-20,00:00,192.168.2.195,24,16,1,0.0,1.0,0.0,0.0,0.6667,9866,411.08,-0.20234722784297857,0.0,-0.6744907594765952,-0.22532249235570986,established,-0.324464,Normal
2026-07-20,01:00,192.168.2.101,227,35,6,0.5727,0.3965,0.0264,0.0044,0.1542,37365,164.6,0.11025329722213577,0.7419398354242548,1.3489815189531904,0.029865492408498437,established,-0.224139,Normal
2026-07-20,01:00,192.168.2.107,691,93,4,0.0,0.9913,0.0087,0.0,0.1346,208639,301.94,0.17568702842468692,-0.18134715025906736,-0.3372453797382976,0.12810942302716105,established,-0.324362,Normal
2026-07-20,01:00,192.168.2.113,23,8,4,0.2174,0.6087,0.1739,0.0,0.3478,2506,108.96,-0.9073506645339912,-0.40469445568595713,0.0,-0.6596504131737171,established,-0.30216,Normal
2026-07-20,01:00,192.168.2.135,4,2,4,0.5,0.5,0.0,0.0,0.5,411,102.75,-0.6744907594765952,-1.1241512657943253,0.0,-0.6744907594765952,established,-0.25383,Normal
2026-07-20,01:00,192.168.2.139,455,90,8,0.2352,0.7055,0.0593,0.0,0.1978,141948,311.97,5.144645204635206,3.268685988232731,1.3489815189531904,4.13008914909652,established,-0.233637,Normal
2026-07-20,01:00,192.168.2.144,142,31,3,0.4014,0.5423,0.0563,0.0,0.2183,54087,380.89,0.9180568670653657,-0.2839961092533032,-1.011736139214893,0.5719961749785,established,-0.270425,Normal
2026-07-20,01:00,192.168.2.158,16,6,2,0.0,0.875,0.125,0.0,0.375,11900,743.75,-0.6205314987184676,-0.6576284904896803,-0.6744907594765952,-0.597121553076877,established,-0.319525,Normal
2026-07-20,01:00,192.168.2.162,165,69,7,0.0182,0.9394,0.0242,0.0182,0.4182,46165,279.79,0.3269215415830436,1.067943702504609,0.6744907594765952,0.2742211591381297,established,-0.311178,Normal
2026-07-20,01:00,192.168.2.165,3,1,1,0.0,1.0,0.0,0.0,0.3333,132,44.0,0.6744907594765952,0.0,0.0,0.6744907594765952,established,-0.34443,Normal
2026-07-20,01:00,192.168.2.191,109,45,9,0.1835,0.633,0.1468,0.0367,0.4128,41458,380.35,0.005395926075812762,0.5447809980387884,1.3489815189531904,0.00880136586177334,established,-0.282942,Normal
2026-07-20,01:00,192.168.2.195,17,11,1,0.0,1.0,0.0,0.0,0.6471,10664,627.29,-0.35972840505418413,-0.28103781644858133,-0.6744907594765952,-0.17622163247044048,established,-0.327581,Normal
2026-07-20,02:00,192.168.2.101,355,37,5,0.4592,0.5296,0.0113,0.0,0.1042,49863,140.46,0.9403957704240992,0.8768379873195737,0.6744907594765952,0.5029439767195422,established,-0.265395,Normal
2026-07-20,02:00,192.168.2.107,483,86,3,0.0,0.9793,0.0207,0.0,0.1781,163764,339.06,-0.33540250881076594,-0.544041450777202,-1.011736139214893,-0.12810942302716105,established,-0.321729,Normal
2026-07-20,02:00,192.168.2.113,117,22,4,0.1111,0.5983,0.2906,0.0,0.188,19763,168.91,0.6022238923898171,1.4838796708485096,0.0,1.397376543844504,established,-0.274965,Normal
2026-07-20,02:00,192.168.2.139,134,40,4,0.3433,0.5746,0.0821,0.0,0.2985,37488,279.76,0.8993210126354603,0.6744907594765952,0.0,0.37996647851289567,established,-0.300931,Normal
2026-07-20,02:00,192.168.2.144,129,42,5,0.2946,0.6744,0.031,0.0,0.3256,55844,432.9,0.43092465188782475,0.49699319119328067,0.3372453797382976,0.6962770479689439,established,-0.317466,Normal
2026-07-20,02:00,192.168.2.158,31,17,3,0.0,0.8065,0.1935,0.0,0.5484,16772,541.03,-0.48563334682314857,-0.28665857277755297,-0.3372453797382976,-0.5019820342531951,established,-0.308192,Normal
2026-07-20,02:00,192.168.2.162,373,112,9,0.0,0.9464,0.0456,0.008,0.3003,95231,255.31,1.7584937657782662,2.2764063132335086,1.2140833670578715,1.5528427874068242,established,-0.285446,Normal
2026-07-20,02:00,192.168.2.165,3,1,1,0.0,1.0,0.0,0.0,0.3333,132,44.0,0.6744907594765952,0.0,0.0,0.6744907594765952,established,-0.34443,Normal
2026-07-20,02:00,192.168.2.191,150,36,3,0.1067,0.8933,0.0,0.0,0.24,71014,473.43,0.4478618642924592,0.07782585686268406,-0.6744907594765952,0.9136123898985485,established,-0.330821,Normal
2026-07-20,02:00,192.168.2.195,1,1,1,0.0,1.0,0.0,0.0,1.0,1278,1278.0,-0.7194568101083683,-0.843113449345744,-0.6744907594765952,-0.7537412701686089,established,-0.272298,Normal
2026-07-20,03:00,192.168.2.101,198,18,2,0.6667,0.3333,0.0,0.0,0.0909,34020,171.82,-0.07782585686268406,-0.40469445568595713,-1.3489815189531904,-0.09675056856289227,established,-0.191777,Normal
2026-07-20,03:00,192.168.2.107,1032,111,5,0.0039,0.9787,0.0174,0.0,0.1076,369300,357.85,1.0135790101424245,0.7512953367875648,0.3372453797382976,1.0454214236050652,established,-0.311208,Normal
2026-07-20,03:00,192.168.2.135,5,2,2,0.6,0.4,0.0,0.0,0.4,741,148.2,-0.6423721518824717,-1.1241512657943253,-1.3489815189531904,-0.6397828301724822,established,-0.220285,Normal
2026-07-20,03:00,192.168.2.139,236,67,7,0.2754,0.6864,0.0381,0.0,0.2839,64361,272.72,2.2483025315886507,2.0753561830049083,1.011736139214893,1.3447094090757306,established,-0.29329,Normal
2026-07-20,03:00,192.168.2.144,106,39,5,0.2547,0.6887,0.0566,0.0,0.3679,37914,357.68,-0.43092465188782475,0.2839961092533032,0.3372453797382976,-0.5719961749785,established,-0.315873,Normal
2026-07-20,03:00,192.168.2.150,33,10,4,0.1818,0.5455,0.2727,0.0,0.303,3673,111.3,-0.7009413774952852,-0.7971254430177944,0.0,-0.6611565508319802,established,-0.284984,Normal
2026-07-20,03:00,192.168.2.158,3,3,1,0.0,1.0,0.0,0.0,1.0,2566,855.33,-0.7374432303610774,-0.7588021044111697,-1.011736139214893,-0.7793941862255318,established,-0.263197,Normal
2026-07-20,03:00,192.168.2.162,194,77,5,0.0,0.9381,0.0567,0.0052,0.3969,71202,367.02,0.5265157459179545,1.292773955663474,0.13489815189531904,0.926665819533583,established,-0.319711,Normal
2026-07-20,03:00,192.168.2.165,2,1,1,0.0,1.0,0.0,0.0,0.5,88,44.0,0.0,0.0,0.0,0.0,established,-0.34333,Normal
2026-07-20,03:00,192.168.2.180,1,1,1,0.0,0.0,1.0,0.0,1.0,140,140.0,-0.6744907594765952,0.0,0.0,-0.7087868997889645,established,-0.120878,Normal
2026-07-20,03:00,192.168.2.191,282,45,3,0.0993,0.8972,0.0035,0.0,0.1596,158509,562.09,1.8723863483070282,0.5447809980387884,-0.6744907594765952,3.592135889292839,established,-0.301673,Normal
2026-07-20,03:00,192.168.2.195,4,3,1,0.0,1.0,0.0,0.0,0.75,3794,948.5,-0.6520077341607088,-0.7306983227663114,-0.6744907594765952,-0.5989320427609175,established,-0.316679,Normal
2026-07-20,04:00,192.168.2.101,273,33,5,0.5495,0.4396,0.0073,0.0037,0.1209,40545,148.52,0.40858574852909135,0.6070416835289357,0.6744907594765952,0.15023591808533623,established,-0.242373,Normal
2026-07-20,04:00,192.168.2.107,1164,123,6,0.0052,0.9785,0.0163,0.0,0.1057,396149,340.33,1.3379242933880005,1.3730569948186528,1.011736139214893,1.1987188007128644,established,-0.298135,Normal
2026-07-20,04:00,192.168.2.113,99,23,4,0.1313,0.596,0.2727,0.0,0.2323,18689,188.78,0.3131564240427049,1.6187778227438285,0.0,1.269356207063049,established,-0.281883,Normal
2026-07-20,04:00,192.168.2.139,281,45,5,0.3523,0.6192,0.0285,0.0,0.1601,74000,263.35,2.843441437009176,0.9339102823522089,0.3372453797382976,1.690750309149975,established,-0.277101,Normal
2026-07-20,04:00,192.168.2.144,58,19,4,0.2414,0.6724,0.0862,0.0,0.3276,21114,364.03,-2.2295666771587452,-1.1359844370132128,-0.3372453797382976,-1.760339183652067,established,-0.267877,Normal
